"name","Axis1","Axis2","Axis3","Axis4"
"Abietinella abietina",0.260033132368321,-0.201532827354626,0.0668497615195294,-0.138881487092092
"Acaena novae-zelandiae",-4.73039289796444,-2.62392024736748,0.904912259622935,1.75842999504284
"Achillea atrata",-3.41587708388919,1.90735681690326,-0.808399896720772,-0.22149005256644
"Achillea millefolium",-1.36053288940578,-2.49863876391692,1.46910524267319,0.651006491495883
"Aconitum delphiniifolium",0.366111718790331,0.658568653601768,-0.391919445082182,0.101727422864151
"Aconitum septentrionale",-0.542406974068567,-0.920250794540492,0.325768197195806,-0.533233650395224
"Adoxa moschatellina",1.26651591122144,-1.40884342902862,-1.26775878686274,0.00283566224676231
"Agrostis canina",-1.09948800012955,-1.53966812917131,0.367247394572189,-0.628523233626423
"Agrostis capillaris",-1.18730792250426,-1.28404194634132,0.313587039614012,-0.79505214975595
"Agrostis mertensii",-0.0151090897668652,-0.362652144144001,0.639122741607214,-0.762782082371773
"Agrostis rupestris",-2.70542411610848,0.963331080104136,0.342519126870615,0.807965521390638
"Agrostis stolonifera",-0.776868002039877,-0.584516344838136,-0.335950276899395,-0.278113816155217
"Agrostis vinealis",-3.6000799388141,-0.346773797510243,-0.0376814008332862,-0.407886900357125
"Alchemilla alpina",-3.45057050413919,0.216258952854236,0.579650166019185,-0.173852514424117
"Alchemilla vulgaris",-1.75710071973723,-0.513066824397761,0.293682181319729,-0.334863751022964
"Alectoria ochroleuca",-0.22312416141035,0.848660636480224,0.688021247583826,-0.153318745492052
"Allium geyeri",1.03344660656522,-2.09592490087249,-0.225100636921049,2.49760162429229
"Allocetraria madreporiformis",0.901982721043133,1.70357759252859,0.170404734874945,1.22864554388168
"Alopecurus magellanicus",2.76195216658708,2.71922416043044,1.20661164064691,0.427763824546756
"Alopecurus pratensis",0.0637110595581914,-1.35419871572279,0.299428993760946,-0.72462085655266
"Andromeda polifolia",-0.903311304964974,-0.650962558073148,0.159827207596382,-0.694899954587634
"Androsace chamaejasme",-0.395856818588857,1.27933909059939,-0.444574639294397,0.249672109638761
"Androsace obtusifolia",-2.02568313570934,1.78224844115167,0.267729702854874,0.555828144426244
"Androsace ochotensis",3.66198962197977,3.01351660786344,0.254854583440953,0.150437187608829
"Androsace septentrionalis",2.11093311139396,-1.09774589782548,-0.392158057883188,1.53230231347469
"Anemonastrum narcissiflorum",-1.13769520922888,0.508835930127354,-0.980265332175002,0.316270761523912
"Anemonastrum richardsonii",2.04243563097983,1.05639491518389,-0.198681454738098,0.0798879319145853
"Anemone multifida",0.559957054464267,-1.30780625488608,-0.0229512803738085,1.42888779729878
"Anemone parviflora",1.7587420317517,0.69849931284874,-0.147449990847971,0.523949814349534
"Aneura pinguis",-1.94634764568622,-0.320769123928801,0.230330194891703,-0.457612658607126
"Angelica saxatilis",3.56179716296556,1.79058124133977,-3.65611201667073,-0.149841967949021
"Antennaria alpina",-1.00279460950945,1.2617197272746,1.17706674561527,-0.06114179021191
"Antennaria canescens",0.884129321506427,1.77122380784796,1.98922062578272,-0.249882152570821
"Antennaria dioica",-0.68444794160449,-0.301920969179966,0.269120725519609,-0.369625018074446
"Antennaria friesiana",3.39415531288775,2.6470383993711,0.0833264986156845,0.15295948073722
"Antennaria lanata",-0.184770613403483,1.56303266791265,1.19379391646752,0.901416120902709
"Antennaria media",-0.249707893209589,-0.500408835903303,-0.0965448032339906,3.3730741160646
"Antennaria monocephala",1.29092300266573,2.21307886527944,0.331703855395143,0.294319928020794
"Antennaria rosea",0.883063971781145,-1.79331121298733,-0.243478120710026,2.20744884896988
"Anthelia julacea",-5.72432191945248,0.416359393642605,-0.0280364200820378,-0.319727775377198
"Anthelia juratzkana",-2.5814072685134,1.09001056849377,0.372421962462099,-0.179455848632034
"Anthemis cretica",-2.22854574956286,-0.0178674727804247,0.768754732413707,1.20239557104155
"Anthoxanthum arcticum",4.6086920642043,3.918242016029,0.896454665123543,0.100309869429038
"Anthoxanthum monticola",1.88783557549791,2.05047626262066,0.172513675520289,-0.0476337390700503
"Anthoxanthum nipponicum",-1.55970647969709,0.402711907255312,0.446559468341614,-0.294694266441743
"Anthoxanthum nitens",-0.450794206995695,-0.726982527760855,0.449707866235966,-0.582444288257904
"Anthoxanthum odoratum",-3.50140401360985,-0.909756936163812,0.432533466267383,-0.584674170857357
"Anthyllis vulneraria",-2.80843910693718,0.494213709077412,-0.277447102821415,-0.0474315519508061
"Aquilegia flabellata",2.33482977217044,1.14653753378256,-4.24263520040347,-0.33883549000311
"Aquilonium plicatulum",0.725603015484399,0.834670570039646,-0.656516008110113,-0.492423605658686
"Arabidopsis lyrata",-0.257835100433815,1.03487782369529,-0.473192737967109,-0.232296639669586
"Arabis alpina",-2.36148388864695,1.31764503276187,0.396898792766342,0.117794599424836
"Arabis caerulea",-2.82995076912905,2.20316173520749,0.0839629757184155,0.424120665459885
"Arabis soyeri",-2.92473399314888,1.47871728394217,-0.225289631905767,0.232991309701472
"Arctagrostis latifolia",3.65270597055906,2.36191676107513,-0.185990549145982,-0.0172409421569058
"Arctoa glacialis",-1.8556095689738,1.12041353622401,1.35171469797026,-0.361161506878026
"Arctoa starkei",-3.15196429025132,1.10851536192609,0.312022078381033,0.0879460917446753
"Arctoparmelia separata",3.78554529937231,2.16812540375765,-0.590957774528438,0.123379211879261
"Arctostaphylos alpinus",-1.52547346491511,0.458171335491003,0.517940170037201,-0.45177182742252
"Arctostaphylos rubra",3.34487299121604,0.511731293020861,-1.02521740015198,0.142435466352811
