"name","Axis1","Axis2","Axis3","Axis4"
"Abietinella abietina",0.28150057728265,-2.87841122636408,0.568567223867654,0.0169189638074832
"Acaena novae-zelandiae",-0.846103086717737,-7.2458716788925,0.158857459324282,1.85625258235875
"Achillea atrata",-4.81730933190426,1.72067928677718,-0.363303157177894,-1.49721111319107
"Achillea millefolium",0.0294944033480666,-5.55278768747346,-0.484405460791734,0.437178162427966
"Aconitum delphinifolium",0.593010048250393,3.63299811828298,-0.187384920939881,0.226089614172126
"Aconitum septentrionale",0.0902450155148239,0.0785906467064447,0.417951341309911,-0.230890607195686
"Adoxa moschatellina",0.0311584785074659,-4.24937895781564,0.890230562484196,-0.0601198739172473
"Agrostis canina",-0.582771645307895,-3.95541573556722,1.17679018454119,0.321516928418832
"Agrostis capillaris",-0.570628205898977,-3.82953358984751,1.51671518245903,0.286312150162168
"Agrostis humilis",-1.17194831978349,0.522275485656458,-2.49224201769113,2.7942563164359
"Agrostis mertensii",-0.577861949643004,1.67489596127742,1.10918813585149,0.165933463517158
"Agrostis rupestris",-3.80972872230672,1.40495390707124,-0.0952950882041942,0.485385704373698
"Agrostis stolonifera",-0.284106844632585,-4.70768753075947,1.73089016585353,0.383031084262158
"Agrostis vinealis",-1.39217285551878,-4.09752203080431,1.60631178042974,0.295806441194891
"Ajania tenuifolia",2.37022594822627,1.26019328679995,-2.1269791769733,1.32977070428658
"Ajuga australis",0.326341534380116,-8.13469794768224,-0.782536453916828,1.32240404420722
"Alchemilla alpina",-4.72638018466326,0.292788263417031,0.566090714082211,0.397670616963495
"Alchemilla vulgaris",-0.0853134092970343,-2.30734941284991,1.11714611972505,-0.0583657910006929
"Allium geyeri",2.02172454310031,-2.05504266220602,-2.08697984025968,2.06689336086291
"Alopecurus alpinus",-3.03810105546302,1.39454129630959,-0.131030068187973,1.63809588563312
"Alopecurus magellanicus",1.70394487921384,4.39666470051795,0.701926589091982,1.10596132284573
"Alopecurus pratensis",-0.146729071095428,-4.49165840663114,1.24142390302789,0.189095202369084
"Anaphalis lactea",-0.16745340610293,0.281536473791323,-2.46585506340341,-0.713132067469134
"Anastrophyllum minutum",-2.47469031640632,-2.81918231736473,0.430527872720286,-0.0583266979332961
"Anastrophyllum saxicola",0.129543566918507,-0.393276603934172,0.528882065608665,-0.429774888687015
"Andromeda polifolia",-0.719310669043469,-0.9355612590299,0.622041066291824,-0.297060525486797
"Androsace chamaejasme",-1.7044584337115,2.35075670941665,-0.397605532549537,-0.522826354967983
"Androsace obtusifolia",-3.33220824480502,2.54830071736916,0.0385437980899832,0.157236197007262
"Androsace ochotensis",2.67936707454104,5.83472593663451,0.174636803989447,0.35009943795737
"Androsace septentrionalis",2.1352306129418,-0.781633913535886,-0.44007460134567,0.571223425388968
"Anemone narcissiflora",-3.20467309278197,0.454241592224416,-0.31111425260618,-0.798079883644355
"Anemone parviflora",1.07459727452867,2.9750290005621,-0.3971996638857,0.473395092252498
"Anemone richardsonii",0.868818279603707,3.83146964638833,-0.201119481392797,0.0608997308564463
"Aneura pinguis",-2.64864154595176,-3.25227655353939,0.985612305637688,0.11963846705361
"Angelica saxatilis",2.45317243817965,5.22604803447002,-2.92874138108614,-2.37757476948175
"Antennaria alpina",-2.12871567333339,2.6594262127581,1.10567866018789,0.989665775218988
"Antennaria canescens",0.0156168380341698,3.56994318157011,1.94306162124139,1.25011500150725
"Antennaria dioica",-0.20752705844541,-0.371526541092825,0.719887867835145,-0.206378966681569
"Antennaria friesiana",2.42469867362847,5.47672195375412,0.0478864679475059,0.253083779526146
"Antennaria lanata",-1.15480614545855,3.10332510265732,0.446260672851941,1.6940937336926
"Antennaria media",-1.05039909357101,1.31307211729948,-2.45997318702021,3.21733039263497
"Antennaria monocephala",0.191260599439143,4.38542170445495,0.199297933602368,0.515956056930406
"Antennaria rosea",1.1684611556174,-0.924043454912598,-1.95079540208501,2.24500691166641
"Anthelia julacea",-7.48326632473871,-1.48278990411484,0.267599908267579,-0.226626095961463
"Anthelia juratzkana",-4.03540930398986,1.58265664798909,0.491458336334474,0.21793631124506
"Anthemis cretica",-1.100099747753,-4.70803020831555,-0.953496286523259,1.46479470054407
"Anthoxanthum odoratum",-1.02965572429882,-4.46001141325931,0.97461480411849,-0.0782152467563246
"Anthoxanthum odoratum subsp. nipponicum",-4.39906799718192,0.982520804480844,-0.33518294755485,1.05718156406307
"Anthyllis vulneraria",-1.02711472076293,-3.92911475451023,0.752217752861304,0.0928072606904027
"Aquilegia flabellata",-0.328247921863252,0.785734917519789,-2.62267112134419,-3.02539883883048
"Arabidopsis lyrata subsp. petraea",1.22341561026095,3.04572549831655,0.338213312518094,-0.359207516229159
"Arabis alpina",-3.14029400912197,-0.0951823952806768,0.0971092282233009,-0.0866562133838338
"Arabis caerulea",-4.35950280982693,2.57773322813714,-0.0384908224309554,-0.206438933195849
"Arabis soyeri subsp. subcoriacea",-4.11523503633737,1.38708076901665,-0.253459408468324,-0.760300457579921
"Arctagrostis latifolia",2.74833808757599,5.33110694969378,-0.0741078115852153,-0.0341550927339361
"Arcterica nana",-6.58011998193881,0.746212036883217,-2.18914737978489,-4.1921985873193
"Arctophila fulva",2.58191764840684,4.55009612628124,0.206103681331078,0.0846332461623158
"Arctostaphylos uva-ursi",0.280793650305691,-1.95241133802403,-0.529067598601002,0.549422569512114
"Arctous alpina",-2.57144603810372,1.83864131159163,0.857987094087908,0.271563582936018
"Arctous rubra",2.56971366520373,3.34025646387967,-0.652665310777336,-0.0558692390567825
