"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N_all","N_bor_tund","N_tund"
"Anaphalis lactea","Anaphalis lactea","Anaphalis lactea","Maxim.","Accepted","Compositae","Anaphalis lactea","Maxim.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anaphalis lactea",410,142,51,37
"Anastrophyllum minutum","Anastrophyllum minutum","Anastrophyllum minutum","(Schreb.) R.M. Schust.","Accepted","Anastrophyllaceae","Anastrophyllum minutum","(Schreb.) R.M. Schust.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anastrophyllum minutum",4321,2188,714,346
"Anastrophyllum saxicola","Anastrophyllum saxicola","Anastrophyllum saxicola","(Schrad.) R.M. Schust.","Accepted","Anastrophyllaceae","Anastrophyllum saxicola","(Schrad.) R.M. Schust.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anastrophyllum saxicola",623,293,90,29
"Andromeda polifolia","Andromeda polifolia","Andromeda polifolia","L.","Accepted","Ericaceae","Andromeda polifolia","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Andromeda polifolia",150989,6346,2039,256
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","Wulfen","Accepted","Primulaceae","Androsace chamaejasme","Wulfen",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457,1969,1354
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","Wulfen ex Host","Unresolved","Primulaceae","Androsace chamaejasme","Wulfen ex Host",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457,1969,1354
"Androsace chamaejasme","Androsace chamaejasme","Androsace chamaejasme","M.Bieb.","Synonym","Primulaceae","Androsace villosa","L.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Androsace chamaejasme",7946,2457,1969,1354
"Androsace obtusifolia","Androsace obtusifolia","Androsace obtusifolia","All.","Accepted","Primulaceae","Androsace obtusifolia","All.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace obtusifolia",5969,1591,1446,1313
"Androsace obtusifolia","Androsace obtusifolia","Androsace obtusifolia","Willd. ex Ledeb.","Synonym","Primulaceae","Androsace chamaejasme","Wulfen",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace obtusifolia",5969,1591,1446,1313
"Androsace ochotensis","Androsace ochotensis","Douglasia ochotensis","(Willd.) Hultén","Synonym","Primulaceae","Androsace ochotensis","Willd. ex Roem. & Schult.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Androsace ochotensis",415,151,146,125
"Androsace septentrionalis","Androsace septentrionalis","Androsace septentrionalis","L.","Accepted","Primulaceae","Androsace septentrionalis","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Androsace septentrionalis",17082,5366,1819,637
"Anemone narcissiflora","Anemone narcissiflora L.","Anemone narcissiflora","L.","Accepted","Ranunculaceae","Anemone narcissiflora","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone narcissiflora",0,1195,647,408
"Anemone narcissiflora","Anemone narcissiflora L.","Anemone narcissiflora","Hook. & Arn.","Synonym","Ranunculaceae","Anemone multifida","Poir.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone narcissiflora",0,1195,647,408
"Anemone obtusiloba","Anemone obtusiloba D.Don","Anemone obtusiloba","D.Don","Accepted","Ranunculaceae","Anemone obtusiloba","D.Don",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone obtusiloba",0,NA,NA,NA
"Anemone obtusiloba","Anemone obtusiloba D.Don","Anemone obtusiloba","Lindl.","Synonym","Ranunculaceae","Anemone polyanthes","D.Don",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone obtusiloba",0,NA,NA,NA
"Anemone parviflora","Anemone parviflora","Anemone parviflora","Michx.","Accepted","Ranunculaceae","Anemone parviflora","Michx.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone parviflora",3464,2415,2148,1220
"Anemone richardsonii","Anemone richardsonii","Anemone richardsonii","Hook.","Accepted","Ranunculaceae","Anemone richardsonii","Hook.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anemone richardsonii",898,569,537,318
"Anemone speciosa","Anemone speciosa","Anemone speciosa","Adams","Synonym","Ranunculaceae","Anemone narcissiflora subsp. fasciculata","(L.) Ziman & Fedor.",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Anemone speciosa",7,NA,NA,NA
"Anemone speciosa","Anemone speciosa","Anemone speciosa","Adams ex Pritz.","Synonym","Ranunculaceae","Anemone narcissiflora subsp. fasciculata","(L.) Ziman & Fedor.",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Anemone speciosa",7,NA,NA,NA
"Anemone speciosa","Anemone speciosa","Anemone speciosa","Rupr.","Synonym","Ranunculaceae","Anemone narcissiflora subsp. fasciculata","(L.) Ziman & Fedor.",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Anemone speciosa",7,NA,NA,NA
"Aneura pinguis","Aneura pinguis","Aneura pinguis","(L.) Dumort.","Accepted","Aneuraceae","Aneura pinguis","(L.) Dumort.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Aneura pinguis",31711,6772,1210,424
"Angelica saxatilis","Angelica saxatilis","Angelica saxatilis","Turcz. ex Ledeb.","Accepted","Apiaceae","Angelica saxatilis","Turcz. ex Ledeb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Angelica saxatilis",444,198,181,48
"Antennaria alpina","Antennaria alpina","Antennaria alpina","(L.) Gaertn.","Accepted","Compositae","Antennaria alpina","(L.) Gaertn.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Antennaria alpina",8618,6033,5625,3986
"Antennaria canescens","Antennaria canescens","Antennaria canescens","(Lange) Malte","Accepted","Compositae","Antennaria canescens","(Lange) Malte",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Antennaria canescens",359,277,275,261
"Antennaria dioica","Antennaria dioica","Antennaria dioica","(L.) Gaertn.","Accepted","Compositae","Antennaria dioica","(L.) Gaertn.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Antennaria dioica",166504,6915,2685,1035
"Antennaria friesiana","Antennaria friesiana","Antennaria friesiana","(Trautv.) Ekman","Accepted","Compositae","Antennaria friesiana","(Trautv.) Ekman",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Antennaria friesiana",1087,586,570,451
