"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Achillea millefolium","median",10.15,7.5,0.30699999332428,624.35,23.05,-0.549999999999955,26.1,11.7500000000001,6.25000000000006,17.65,2.75000000000006,874.4,106,42.5,25.7,291.4,148.45,226.6,215.5,53,-2.6,-65.9,117.9,113,3735.65,333,65,310,809.7,11.85,365,-70.56385,47.07655
"Achillea millefolium","Q05",4.85000000000002,3.7,0.191999995708466,265.065,17.85,-12.45,13.7,2.75000000000006,-4.94999999999999,14.365,-7.64999999999998,431.245,61.4,0.6,11.3,165.9,6.6,8,80.715,7.2,-61.8,-175.9,77.5,37,2471.645,150.15,28,164,296.015,8.75000000000006,228,-122.963525,29.84379
"Achillea millefolium","Q95",16.65,12.4,0.490000009536743,1032.485,33.55,6.65000000000003,38.2,22.65,21.05,26.85,10.45,1586.195,239.61,84.7,91.2,663.97,278.5,377.3,609.355,203.5,58.5,-21,333.3,259,6081.675,357,95,365,1508.625,16.35,365,46.3051,57.055805
"Achillea millefolium","range",11.8,8.7,0.298000013828278,767.42,15.7,19.1,24.5,19.9,26,12.485,18.1,1154.95,178.21,84.1,79.9,498.07,271.9,369.3,528.64,196.3,120.3,154.9,255.8,222,3610.03,206.85,67,201,1212.61,7.59999999999997,137,169.268625,27.212015
"Achillea millefolium","optimum",10.12,6.8,0.312,544.4,21.96,0.56,21.5,17.41,5.98,16.88,3.36,878.3,84.8,46,14.9,246.3,173.6,231,217.6,50.3,-0.7,-53.9,103.6,109,3703.7,341,83,364,-34.5,10.27,365,6.922,51.875
"Aconitum delphiniifolium","mean",-2.26,6.6,0.202,964.7,15.4,-17.48,32.9,6.71,-5.24,10.49,-13.77,1182.9,180.6,45.6,49.8,477.6,156.6,359.5,266.1,121.3,49.2,-33.4,154.7,177,1289,280,116,102,14519374.9,8.68,168,-130.569,60.899
"Aconitum delphiniifolium","median",-2.24999999999994,6.5,0.194000005722046,920.9,15.35,-17.95,32.8,7.85000000000002,-6.64999999999998,10.45,-13.7499999999999,829.9,135.8,28.6,47.5,357.2,100.5,313.4,151.3,72.1,20.2,-44.7,120.9,174,1235.2,278,118,101,372,8.65000000000003,162,-145.6992,61.0273
"Aconitum delphiniifolium","Q05",-9.14999999999998,3.6,0.137999999523163,513.73,10.7500000000001,-27.95,18.6,-3.91999999999998,-17.79,6.48000000000004,-23.95,455.77,76.53,11.2,23,203.48,41.43,165.49,56.13,22.43,-7.2,-75.57,67.46,136,689.6,258,89,47,179.85,5.05000000000001,120,-163.08,53.93716
"Aconitum delphiniifolium","Q95",3.85000000000002,9.46999999999998,0.288000011444092,1406.93,20.7500000000001,-4.34999999999997,44.77,14.2500000000001,8.52,14.92,-2.34999999999997,3514.01,487.4,147.9,78.7799999999999,1318.29,515.509999999999,686.739999999999,985.18,449.63,234.57,49.5799999999999,398.07,230,2008.1,313,142,151,1724.08,12.2500000000001,234,-117.38221,67.445
"Aconitum delphiniifolium","range",13,5.86999999999998,0.150000011920929,893.2,10,23.6,26.17,18.17,26.31,8.43999999999998,21.6,3058.24,410.87,136.7,55.7799999999999,1114.81,474.079999999999,521.249999999999,929.05,427.2,241.77,125.15,330.61,94,1318.5,55,53,104,1544.23,7.20000000000005,114,45.69779,13.50784
