"GBIF_name" "SCIENTIFIC_NAME" "AUTHOR" "STATUS" "FAMILY" "ACCEPTED_SPECIES" "ACCEPTED_AUTHOR" "n_sci" "one_is_acc" "all_unresolved" "just_one_syn" "one_is_un" "non_vasc_typo" "SPECIES_NAME" "ITEX_name" "n_occ"
"Claytonia sarmentosa" "Montia sarmentosa" "(C.A. Mey.) B.L. Rob." "Synonym" "Montiaceae" "Claytonia sarmentosa" "C.A.Mey." 1 FALSE FALSE TRUE FALSE FALSE "Claytonia sarmentosa" "Claytonia sarmentosa" 753
"Claytonia sibirica" "Claytonia sibirica" "L." "Accepted" "Montiaceae" "Claytonia sibirica" "L." 1 TRUE FALSE FALSE FALSE FALSE "Claytonia sibirica" "Claytonia sibirica" 39599
"Climacium dendroides" "Climacium dendroides" "(Hedw.) F. Weber & D. Mohr" "Accepted" "Climaciaceae" "Climacium dendroides" "(Hedw.) F. Weber & D. Mohr" 1 TRUE FALSE FALSE FALSE FALSE "Climacium dendroides" "Climacium dendroides" 50036
"Cochlearia groenlandica" "Cochlearia groenlandica" "L." "Accepted" "Brassicaceae" "Cochlearia groenlandica" "L." 1 TRUE FALSE FALSE FALSE FALSE "Cochlearia groenlandica" "Cochlearia groenlandica" 6108
"Cochlearia officinalis" "Cochlearia officinalis" "L." "Accepted" "Brassicaceae" "Cochlearia officinalis" "L." 2 TRUE FALSE FALSE FALSE FALSE "Cochlearia officinalis" "Cochlearia officinalis" 31554
"Cochlearia officinalis" "Cochlearia officinalis" "Lapeyr." "Synonym" "Brassicaceae" "Cochlearia pyrenaica" "DC." 2 TRUE FALSE FALSE FALSE FALSE "Cochlearia officinalis" "Cochlearia officinalis" 31554
"Codriophorus fascicularis" "Racomitrium fasciculare" "(Hedw.) Brid." "Synonym" "Grimmiaceae" "Codriophorus fascicularis" "(Hedw.) Bednarek-Ochyra & Ochyra" 1 FALSE FALSE TRUE FALSE FALSE "Codriophorus fascicularis" "Codriophorus fascicularis" 211
"Colobanthus affinis" "Colobanthus affinis" "(Hook.) Hook.f." "Accepted" "Caryophyllaceae" "Colobanthus affinis" "(Hook.) Hook.f." 1 TRUE FALSE FALSE FALSE FALSE "Colobanthus affinis" "Colobanthus affinis" 534
"Colobanthus quitensis" "Colobanthus quitensis" "(Kunth) Bartl." "Accepted" "Caryophyllaceae" "Colobanthus quitensis" "(Kunth) Bartl." 1 TRUE FALSE FALSE FALSE FALSE "Colobanthus quitensis" "Colobanthus quitensis" 1022
"Colpodium ponticum" "Hyalopoa pontica" "(Balansa) Tzvelev" "Synonym" "Poaceae" "Colpodium ponticum" "(Balansa) Woronow" 1 FALSE FALSE TRUE FALSE FALSE "Colpodium ponticum" "Colpodium ponticum" 4
"Colpodium variegatum" "Catabrosella variegata" "(Boiss.) Tzvelev" "Synonym" "Poaceae" "Colpodium variegatum" "(Boiss.) Boiss. ex Griseb." 1 FALSE FALSE TRUE FALSE FALSE "Colpodium variegatum" "Colpodium variegatum" 10
"Comarum palustre" "Comarum palustre" "L." "Accepted" "Rosaceae" "Comarum palustre" "L." 2 TRUE FALSE FALSE TRUE FALSE "Comarum palustre" "Comarum palustre" 312736
"Comarum palustre" "Comarum palustre" "auct. americ." "Unresolved" "Rosaceae" "Comarum palustre" "auct. americ." 2 TRUE FALSE FALSE TRUE FALSE "Comarum palustre" "Comarum palustre" 312736
"Comarum palustre" "Potentilla palustris" "(L.) Lehm." "Unresolved" "Rosaceae" "Comarum palustre" "L." 2 FALSE FALSE FALSE TRUE FALSE "Comarum palustre" "Comarum palustre" 312736
"Comarum palustre" "Potentilla palustris" "(L.) Scop." "Synonym" "Rosaceae" "Comarum palustre" "L." 2 FALSE FALSE FALSE TRUE FALSE "Comarum palustre" "Comarum palustre" 312736
"Comastoma tenellum" "Gentianella tenella" "(Rottb.) Harry Sm." "Synonym" "Gentianaceae" "Comastoma tenellum" "(Rottb.) Toyok." 2 FALSE FALSE FALSE FALSE FALSE "Comastoma tenellum" "Comastoma tenellum" 8925
"Comastoma tenellum" "Gentianella tenella" "(Rottb.) Börner" "Synonym" "Gentianaceae" "Comastoma tenellum" "(Rottb.) Toyok." 2 FALSE FALSE FALSE FALSE FALSE "Comastoma tenellum" "Comastoma tenellum" 8925
"Conostomum tetragonum" "Conostomum tetragonum" "(Hedw.) Lindb." "Accepted" "Bartramiaceae" "Conostomum tetragonum" "(Hedw.) Lindb." 1 TRUE FALSE FALSE FALSE FALSE "Conostomum tetragonum" "Conostomum tetragonum" 4097
"Coptidium lapponicum" "Ranunculus lapponicus" "L." "Synonym" "Ranunculaceae" "Coptidium lapponicum" "(L.) Gand. ex Rydb." 1 FALSE FALSE TRUE FALSE FALSE "Coptidium lapponicum" "Coptidium lapponicum" 12078
"Coptidium pallasii" "Coptidium pallasii" "(Schltdl.) Tzvelev" "Accepted" "Ranunculaceae" "Coptidium pallasii" "(Schltdl.) Tzvelev" 2 TRUE FALSE FALSE FALSE FALSE "Coptidium pallasii" "Coptidium pallasii" 936
"Coptidium pallasii" "Coptidium pallasii" "Á. Löve & D. Löve" "Synonym" "Ranunculaceae" "Coptidium pallasii" "(Schltdl.) Tzvelev" 2 TRUE FALSE FALSE FALSE FALSE "Coptidium pallasii" "Coptidium pallasii" 936
"Coptidium pallasii" "Ranunculus pallasii" "Schltdl." "Synonym" "Ranunculaceae" "Coptidium pallasii" "(Schltdl.) Tzvelev" 1 FALSE FALSE TRUE FALSE FALSE "Coptidium pallasii" "Coptidium pallasii" 936
"Corydalis conorhiza" "Corydalis conorhiza" "Ledeb." "Accepted" "Papaveraceae" "Corydalis conorhiza" "Ledeb." 1 TRUE FALSE FALSE FALSE FALSE "Corydalis conorhiza" "Corydalis conorhiza" 174
"Craspedia coolaminica" "Craspedia coolaminica" "J.Everett & Joy Thomps." "Accepted" "Compositae" "Craspedia coolaminica" "J.Everett & Joy Thomps." 1 TRUE FALSE FALSE FALSE FALSE "Craspedia coolaminica" "Craspedia coolaminica" 9
"Craspedia aurantia var. jamesii" "Craspedia jamesii" "J.Everett & Joy Thomps." "Accepted" "Compositae" "Craspedia jamesii" "J.Everett & Joy Thomps." 1 TRUE FALSE FALSE FALSE FALSE "Craspedia jamesii" "Craspedia jamesii" 0
"Crepis coreana" "Crepis coreana" "(Nakai) H.S.Pak" "Accepted" "Compositae" "Crepis coreana" "(Nakai) H.S.Pak" 2 TRUE FALSE FALSE TRUE FALSE "Crepis coreana" "Crepis coreana" 111
"Crepis coreana" "Crepis coreana" "(Nakai) Sennikov" "Unresolved" "Compositae" "Crepis coreana" "(Nakai) Sennikov" 2 TRUE FALSE FALSE TRUE FALSE "Crepis coreana" "Crepis coreana" 111
"Crepis paludosa" "Crepis paludosa" "(L.) Moench" "Accepted" "Compositae" "Crepis paludosa" "(L.) Moench" 1 TRUE FALSE FALSE FALSE FALSE "Crepis paludosa" "Crepis paludosa" 154950
"Cymopterus alpinus" "Cymopterus alpinus" "A.Gray" "Accepted" "Apiaceae" "Cymopterus alpinus" "A.Gray" 1 TRUE FALSE FALSE FALSE FALSE "Cymopterus alpinus" "Cymopterus alpinus" 111
"Cymopterus alpinus" "Oreoxis alpina" "(A. Gray) J.M. Coult. & Rose" "Synonym" "Apiaceae" "Cymopterus alpinus" "A.Gray" 1 FALSE FALSE TRUE FALSE FALSE "Cymopterus alpinus" "Cymopterus alpinus" 111
"Cynodontium strumiferum" "Cynodontium strumiferum" "(Hedw.) Lindb." "Accepted" "Dicranaceae" "Cynodontium strumiferum" "(Hedw.) Lindb." 1 TRUE FALSE FALSE FALSE FALSE "Cynodontium strumiferum" "Cynodontium strumiferum" 6012
"Cyrtomnium hymenophyllum" "Cyrtomnium hymenophyllum" "(Bruch & Schimp.) Holmen" "Accepted" "Mniaceae" "Cyrtomnium hymenophyllum" "(Bruch & Schimp.) Holmen" 1 TRUE FALSE FALSE FALSE FALSE "Cyrtomnium hymenophyllum" "Cyrtomnium hymenophyllum" 1352
"Dactylorhiza viridis" "Coeloglossum viride" "(L.) Hartm." "Synonym" "Orchidaceae" "Dactylorhiza viridis" "(L.) R.M.Bateman, Pridgeon & M.W.Chase" 1 FALSE FALSE TRUE FALSE FALSE "Dactylorhiza viridis" "Dactylorhiza viridis" 91226
"Dactylorhiza viridis" "Dactylorhiza viridis" "(L.) R.M.Bateman, Pridgeon & M.W.Chase" "Accepted" "Orchidaceae" "Dactylorhiza viridis" "(L.) R.M.Bateman, Pridgeon & M.W.Chase" 1 TRUE FALSE FALSE FALSE FALSE "Dactylorhiza viridis" "Dactylorhiza viridis" 91226
"Dasiphora fruticosa" "Potentilla fruticosa" "auct." "Unresolved" "Rosaceae" "Potentilla fruticosa" "auct." 3 FALSE FALSE FALSE TRUE FALSE "Dasiphora fruticosa" "Dasiphora fruticosa" 59841
"Dasiphora fruticosa" "Potentilla fruticosa" "Hook.f." "Unresolved" "Rosaceae" "Potentilla fruticosa" "Hook.f." 3 FALSE FALSE FALSE TRUE FALSE "Dasiphora fruticosa" "Dasiphora fruticosa" 59841
"Dasiphora fruticosa" "Potentilla fruticosa" "L." "Synonym" "Rosaceae" "Dasiphora fruticosa" "(L.) Rydb." 3 FALSE FALSE FALSE TRUE FALSE "Dasiphora fruticosa" "Dasiphora fruticosa" 59841
"Dendranthema oreastrum" "Dendranthema oreastrum" "(Hance) Ling" "Accepted" "Compositae" "Dendranthema oreastrum" "(Hance) Ling" 1 TRUE FALSE FALSE FALSE FALSE "Dendranthema oreastrum" "Dendranthema oreastrum" 77
"Deschampsia antarctica" "Deschampsia antarctica" "É.Desv." "Accepted" "Poaceae" "Deschampsia antarctica" "É.Desv." 1 TRUE FALSE FALSE FALSE FALSE "Deschampsia antarctica" "Deschampsia antarctica" 805
"Deschampsia atropurpurea" "Deschampsia atropurpurea" "(Wahlenb.) Scheele" "Accepted" "Poaceae" "Deschampsia atropurpurea" "(Wahlenb.) Scheele" 1 TRUE FALSE FALSE FALSE FALSE "Deschampsia atropurpurea" "Deschampsia atropurpurea" 366
"Deschampsia cespitosa" "Deschampsia alpina" "(L.) Roem. & Schult." "Synonym" "Poaceae" "Deschampsia cespitosa" "(L.) P.Beauv." 1 FALSE FALSE TRUE FALSE FALSE "Deschampsia cespitosa" "Deschampsia cespitosa" 787170
"Deschampsia cespitosa" "Deschampsia cespitosa" "(L.) P.Beauv." "Accepted" "Poaceae" "Deschampsia cespitosa" "(L.) P.Beauv." 1 TRUE FALSE FALSE FALSE FALSE "Deschampsia cespitosa" "Deschampsia cespitosa" 787170
"Deschampsia cespitosa" "Deschampsia caespitosa" "(L.) P.Beauv." "Synonym" "Poaceae" "Deschampsia cespitosa" "(L.) P.Beauv." 1 FALSE FALSE TRUE FALSE FALSE "Deschampsia cespitosa" "Deschampsia cespitosa" 787170
"Deschampsia flexuosa" "Avenella flexuosa" "(L.) Drejer" "Synonym" "Poaceae" "Deschampsia flexuosa" "(L.) Trin." 1 FALSE FALSE TRUE FALSE FALSE "Deschampsia flexuosa" "Deschampsia flexuosa" 232158
"Deschampsia flexuosa" "Deschampsia flexuosa" "(L.) Trin." "Accepted" "Poaceae" "Deschampsia flexuosa" "(L.) Trin." 1 TRUE FALSE FALSE FALSE FALSE "Deschampsia flexuosa" "Deschampsia flexuosa" 232158
"Deyeuxia angustifolia Vickery" "Deyeuxia angustifolia" "Vickery" "Accepted" "Poaceae" "Deyeuxia angustifolia" "Vickery" 2 TRUE FALSE FALSE FALSE FALSE "Deyeuxia angustifolia" "Deyeuxia angustifolia" 0
"Deyeuxia angustifolia Vickery" "Deyeuxia angustifolia" "(Kom.) D.M.Chang" "Synonym" "Poaceae" "Calamagrostis angustifolia" "Kom." 2 TRUE FALSE FALSE FALSE FALSE "Deyeuxia angustifolia" "Deyeuxia angustifolia" 0
"Dianthus repens" "Dianthus repens" "Willd." "Accepted" "Caryophyllaceae" "Dianthus repens" "Willd." 1 TRUE FALSE FALSE FALSE FALSE "Dianthus repens" "Dianthus repens" 1291
"Diapensia lapponica" "Diapensia lapponica" "L." "Accepted" "Diapensiaceae" "Diapensia lapponica" "L." 1 TRUE FALSE FALSE FALSE FALSE "Diapensia lapponica" "Diapensia lapponica" 12985
"Diapensia lapponica subsp. obovata" "Diapensia lapponica subsp. obovata" "(F.Schmidt) Hultén" "Accepted" "Diapensiaceae" "Diapensia lapponica subsp. obovata" "(F.Schmidt) Hultén" 1 TRUE FALSE FALSE FALSE FALSE "Diapensia lapponica subsp. obovata" "Diapensia lapponica subsp. obovata" 404
"Dicranella crispa" "Dicranella crispa" "(Hedw.) Schimp." "Accepted" "Dicranaceae" "Dicranella crispa" "(Hedw.) Schimp." 1 TRUE FALSE FALSE FALSE FALSE "Dicranella crispa" "Dicranella crispa" 1898
"Dicranella subulata" "Dicranella subulata" "(Hedw.) Schimp." "Accepted" "Dicranaceae" "Dicranella subulata" "(Hedw.) Schimp." 1 TRUE FALSE FALSE FALSE FALSE "Dicranella subulata" "Dicranella subulata" 3101
"Dicranoweisia crispula" "Dicranoweisia crispula" "(Hedw.) Milde" "Accepted" "Dicranaceae" "Dicranoweisia crispula" "(Hedw.) Milde" 1 TRUE FALSE FALSE FALSE FALSE "Dicranoweisia crispula" "Dicranoweisia crispula" 4498
"Dicranum acutifolium" "Dicranum acutifolium" "(Lindb. & Arnell) C.E.O. Jensen" "Accepted" "Dicranaceae" "Dicranum acutifolium" "(Lindb. & Arnell) C.E.O. Jensen" 1 TRUE FALSE FALSE FALSE FALSE "Dicranum acutifolium" "Dicranum acutifolium" 2071
"Dicranum brevifolium" "Dicranum brevifolium" "(Lindb.) Lindb." "Accepted" "Dicranaceae" "Dicranum brevifolium" "(Lindb.) Lindb." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum brevifolium" "Dicranum brevifolium" 1150
"Dicranum elongatum" "Dicranum elongatum" "Schleich. ex Schwägr." "Accepted" "Dicranaceae" "Dicranum elongatum" "Schleich. ex Schwägr." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum elongatum" "Dicranum elongatum" 5373
"Dicranum fuscescens" "Dicranum fuscescens" "Turner" "Accepted" "Dicranaceae" "Dicranum fuscescens" "Turner" 1 TRUE FALSE FALSE FALSE FALSE "Dicranum fuscescens" "Dicranum fuscescens" 8799
"Dicranum fuscescens subsp. congestum" "Dicranum fuscescens subsp. congestum" "(Brid.) Kindb." "Accepted" "Dicranaceae" "Dicranum fuscescens subsp. congestum" "(Brid.) Kindb." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum fuscescens subsp. congestum" "Dicranum fuscescens subsp. congestum" 29
"Dicranum groenlandicum" "Dicranum groenlandicum" "Brid." "Accepted" "Dicranaceae" "Dicranum groenlandicum" "Brid." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum groenlandicum" "Dicranum groenlandicum" 1128
"Dicranum majus" "Dicranum majus" "Turner" "Accepted" "Dicranaceae" "Dicranum majus" "Turner" 1 TRUE FALSE FALSE FALSE FALSE "Dicranum majus" "Dicranum majus" 4080
"Dicranum muehlenbeckii" "Dicranum muehlenbeckii" "Bruch & Schimp." "Accepted" "Dicranaceae" "Dicranum muehlenbeckii" "Bruch & Schimp." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum muehlenbeckii" "Dicranum muehlenbeckii" 1113
"Dicranum scoparium" "Dicranum scoparium" "Hedw." "Accepted" "Dicranaceae" "Dicranum scoparium" "Hedw." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum scoparium" "Dicranum scoparium" 212927
"Dicranum spadiceum" "Dicranum spadiceum" "J.E. Zetterst." "Accepted" "Dicranaceae" "Dicranum spadiceum" "J.E. Zetterst." 1 TRUE FALSE FALSE FALSE FALSE "Dicranum spadiceum" "Dicranum spadiceum" 4893
"Diphasiastrum alpinum" "Diphasiastrum alpinum" "(L.) Holub" "Accepted" "Lycopodiaceae" "Diphasiastrum alpinum" "(L.) Holub" 1 TRUE FALSE FALSE FALSE FALSE "Diphasiastrum alpinum" "Diphasiastrum alpinum" 36416
"Diphasiastrum complanatum" "Diphasiastrum complanatum" "(L.) Holub" "Accepted" "Lycopodiaceae" "Diphasiastrum complanatum" "(L.) Holub" 1 TRUE FALSE FALSE FALSE FALSE "Diphasiastrum complanatum" "Diphasiastrum complanatum" 36692
"Distichium capillaceum" "Distichium capillaceum" "(Hedw.) Bruch & Schimp." "Accepted" "Ditrichaceae" "Distichium capillaceum" "(Hedw.) Bruch & Schimp." 1 TRUE FALSE FALSE FALSE FALSE "Distichium capillaceum" "Distichium capillaceum" 16294
"Distichium inclinatum" "Distichium inclinatum" "(Hedw.) Bruch & Schimp." "Accepted" "Ditrichaceae" "Distichium inclinatum" "(Hedw.) Bruch & Schimp." 1 TRUE FALSE FALSE FALSE FALSE "Distichium inclinatum" "Distichium inclinatum" 2863
"Ditrichum flexicaule" "Ditrichum flexicaule" "(Schwägr.) Hampe" "Accepted" "Ditrichaceae" "Ditrichum flexicaule" "(Schwägr.) Hampe" 1 TRUE FALSE FALSE FALSE FALSE "Ditrichum flexicaule" "Ditrichum flexicaule" 8091
"Draba aizoides" "Draba aizoides" "L." "Accepted" "Brassicaceae" "Draba aizoides" "L." 4 TRUE FALSE FALSE FALSE FALSE "Draba aizoides" "Draba aizoides" 25325
"Draba aizoides" "Draba aizoides" "Curtis" "Synonym" "Brassicaceae" "Draba brachystemon" "DC." 4 TRUE FALSE FALSE FALSE FALSE "Draba aizoides" "Draba aizoides" 25325
"Draba aizoides" "Draba aizoides" "Sm." "Synonym" "Brassicaceae" "Draba bruniifolia subsp. olympica" "(DC.) Coode & Cullen" 4 TRUE FALSE FALSE FALSE FALSE "Draba aizoides" "Draba aizoides" 25325
"Draba aizoides" "Draba aizoides" "Cav." "Synonym" "Brassicaceae" "Draba hispanica" "Boiss." 4 TRUE FALSE FALSE FALSE FALSE "Draba aizoides" "Draba aizoides" 25325
"Draba alpina" "Draba alpina" "L." "Accepted" "Brassicaceae" "Draba alpina" "L." 4 TRUE FALSE FALSE FALSE FALSE "Draba alpina" "Draba alpina" 3829
"Draba alpina" "Draba alpina" "Crantz" "Synonym" "Brassicaceae" "Draba aizoides" "L." 4 TRUE FALSE FALSE FALSE FALSE "Draba alpina" "Draba alpina" 3829
"Draba alpina" "Draba alpina" "Asso" "Misapplied" "Brassicaceae" "Draba hispanica" "Boiss." 4 TRUE FALSE FALSE FALSE FALSE "Draba alpina" "Draba alpina" 3829
"Draba alpina" "Draba alpina" "Baumg." "Synonym" "Brassicaceae" "Hornungia alpina" "(L.) O.Appel" 4 TRUE FALSE FALSE FALSE FALSE "Draba alpina" "Draba alpina" 3829
"Draba aurea" "Draba aurea" "Vahl ex Hornem." "Accepted" "Brassicaceae" "Draba aurea" "Vahl ex Hornem." 2 TRUE FALSE FALSE FALSE FALSE "Draba aurea" "Draba aurea" 1376
"Draba aurea" "Draba aurea" "K.Koch" "Synonym" "Brassicaceae" "Draba bruniifolia subsp. olympica" "(DC.) Coode & Cullen" 2 TRUE FALSE FALSE FALSE FALSE "Draba aurea" "Draba aurea" 1376
"Draba breweri" "Draba breweri" "S.Watson" "Accepted" "Brassicaceae" "Draba breweri" "S.Watson" 1 TRUE FALSE FALSE FALSE FALSE "Draba breweri" "Draba breweri" 263
"Draba corymbosa" "Draba corymbosa" "R.Br. ex DC." "Accepted" "Brassicaceae" "Draba corymbosa" "R.Br. ex DC." 2 TRUE FALSE FALSE FALSE FALSE "Draba corymbosa" "Draba corymbosa" 2097
"Draba corymbosa" "Draba corymbosa" "Fr. ex Lange" "Synonym" "Brassicaceae" "Draba hirta" "L." 2 TRUE FALSE FALSE FALSE FALSE "Draba corymbosa" "Draba corymbosa" 2097
"Draba crassifolia" "Draba crassifolia" "Graham" "Accepted" "Brassicaceae" "Draba crassifolia" "Graham" 1 TRUE FALSE FALSE FALSE FALSE "Draba crassifolia" "Draba crassifolia" 997
"Draba fladnizensis" "Draba fladnizensis" "Wulfen" "Accepted" "Brassicaceae" "Draba fladnizensis" "Wulfen" 1 TRUE FALSE FALSE FALSE FALSE "Draba fladnizensis" "Draba fladnizensis" 4240
"Draba glabella" "Draba glabella" "Pursh" "Accepted" "Brassicaceae" "Draba glabella" "Pursh" 2 TRUE FALSE FALSE FALSE FALSE "Draba glabella" "Draba glabella" 6028
"Draba glabella" "Draba glabella" "Richardson" "Synonym" "Brassicaceae" "Draba incana" "L." 2 TRUE FALSE FALSE FALSE FALSE "Draba glabella" "Draba glabella" 6028
"Draba incana" "Draba incana" "L." "Accepted" "Brassicaceae" "Draba incana" "L." 1 TRUE FALSE FALSE FALSE FALSE "Draba incana" "Draba incana" 11894
"Draba lactea" "Draba lactea" "Adams" "Accepted" "Brassicaceae" "Draba lactea" "Adams" 1 TRUE FALSE FALSE FALSE FALSE "Draba lactea" "Draba lactea" 3913
"Draba lanceolata" "Draba lanceolata" "Royle" "Accepted" "Brassicaceae" "Draba lanceolata" "Royle" 3 TRUE FALSE FALSE TRUE FALSE "Draba lanceolata" "Draba lanceolata" 552
"Draba lanceolata" "Draba lanceolata" "Rouy & Foucaud" "Unresolved" "Brassicaceae" "Draba lanceolata" "Rouy & Foucaud" 3 TRUE FALSE FALSE TRUE FALSE "Draba lanceolata" "Draba lanceolata" 552
"Draba lanceolata" "Draba lanceolata" "Klotzsch & Garcke" "Synonym" "Brassicaceae" "Draba gracillima" "Hook.f. & Thomson" 3 TRUE FALSE FALSE TRUE FALSE "Draba lanceolata" "Draba lanceolata" 552
"Draba micropetala" "Draba micropetala" "Hook." "Accepted" "Brassicaceae" "Draba micropetala" "Hook." 1 TRUE FALSE FALSE FALSE FALSE "Draba micropetala" "Draba micropetala" 829
"Draba nivalis" "Draba nivalis" "Lilj." "Accepted" "Brassicaceae" "Draba nivalis" "Lilj." 2 TRUE FALSE FALSE FALSE FALSE "Draba nivalis" "Draba nivalis" 3713
"Draba nivalis" "Draba nivalis" "Lapeyr." "Synonym" "Brassicaceae" "Draba tomentosa" "Clairv." 2 TRUE FALSE FALSE FALSE FALSE "Draba nivalis" "Draba nivalis" 3713
"Draba norvegica" "Draba norvegica" "Gunnerus" "Accepted" "Brassicaceae" "Draba norvegica" "Gunnerus" 1 TRUE FALSE FALSE FALSE FALSE "Draba norvegica" "Draba norvegica" 6858
"Draba oblongata" "Draba arctica" "J.Vahl" "Synonym" "Brassicaceae" "Draba oblongata" "R.Br. ex DC" 1 FALSE FALSE TRUE FALSE FALSE "Draba oblongata" "Draba oblongata" 536
"Draba oblongata" "Draba oblongata" "R.Br. ex DC" "Accepted" "Brassicaceae" "Draba oblongata" "R.Br. ex DC" 3 TRUE FALSE FALSE TRUE FALSE "Draba oblongata" "Draba oblongata" 536
"Draba oblongata" "Draba oblongata" "R. Br." "Unresolved" "Brassicaceae" "Draba oblongata" "R. Br." 3 TRUE FALSE FALSE TRUE FALSE "Draba oblongata" "Draba oblongata" 536
"Draba oblongata" "Draba oblongata" "Nyman" "Synonym" "Brassicaceae" "Draba aizoides" "L." 3 TRUE FALSE FALSE TRUE FALSE "Draba oblongata" "Draba oblongata" 536
"Draba ochroleuca" "Draba ochroleuca" "Bunge" "Accepted" "Brassicaceae" "Draba ochroleuca" "Bunge" 1 TRUE FALSE FALSE FALSE FALSE "Draba ochroleuca" "Draba ochroleuca" 213
"Draba pauciflora" "Draba pauciflora" "R.Br." "Accepted" "Brassicaceae" "Draba pauciflora" "R.Br." 1 TRUE FALSE FALSE FALSE FALSE "Draba pauciflora" "Draba pauciflora" 689
"Draba streptocarpa" "Draba streptocarpa" "A.Gray" "Accepted" "Brassicaceae" "Draba streptocarpa" "A.Gray" 1 TRUE FALSE FALSE FALSE FALSE "Draba streptocarpa" "Draba streptocarpa" 278
"Draba subcapitata" "Draba subcapitata" "Simmons" "Accepted" "Brassicaceae" "Draba subcapitata" "Simmons" 1 TRUE FALSE FALSE FALSE FALSE "Draba subcapitata" "Draba subcapitata" 1718
"Drepanocladus aduncus" "Drepanocladus aduncus" "(Hedw.) Warnst." "Accepted" "Amblystegiaceae" "Drepanocladus aduncus" "(Hedw.) Warnst." 1 TRUE FALSE FALSE FALSE FALSE "Drepanocladus aduncus" "Drepanocladus aduncus" 28993
"Drepanocladus revolvens" "Drepanocladus revolvens" "(Sw.) Warnst." "Accepted" "Amblystegiaceae" "Drepanocladus revolvens" "(Sw.) Warnst." 1 TRUE FALSE FALSE FALSE FALSE "Drepanocladus revolvens" "Drepanocladus revolvens" 1583
"Drepanocladus uncinatus" "Drepanocladus uncinatus" "(Hedw.) Warnst." "Accepted" "Amblystegiaceae" "Drepanocladus uncinatus" "(Hedw.) Warnst." 1 TRUE FALSE FALSE FALSE FALSE "Drepanocladus uncinatus" "Drepanocladus uncinatus" 3143
"Dryas integrifolia" "Dryas integrifolia" "Vahl" "Accepted" "Rosaceae" "Dryas integrifolia" "Vahl" 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas integrifolia" "Dryas integrifolia" "C.A.Mey. ex Juz." "Unresolved" "Rosaceae" "Dryas integrifolia" "C.A.Mey. ex Juz." 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas integrifolia" "Dryas integrifolia" "Ledeb." "Unresolved" "Rosaceae" "Dryas integrifolia" "Ledeb." 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas integrifolia" "Dryas integrifolia" "Vahl" "Accepted" "Rosaceae" "Dryas integrifolia" "Vahl" 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas integrifolia" "Dryas integrifolia" "C.A.Mey. ex Juz." "Unresolved" "Rosaceae" "Dryas integrifolia" "C.A.Mey. ex Juz." 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas integrifolia" "Dryas integrifolia" "Ledeb." "Unresolved" "Rosaceae" "Dryas integrifolia" "Ledeb." 6 TRUE FALSE FALSE TRUE FALSE "Dryas integrifolia" "Dryas integrifolia" 4162
"Dryas octopetala" "Dryas octopetala" "L." "Accepted" "Rosaceae" "Dryas octopetala" "L." 4 TRUE FALSE FALSE TRUE FALSE "Dryas octopetala" "Dryas octopetala" 98231
"Dryas octopetala" "Dryas octopetala" "J.G.Gmel." "Unresolved" "Rosaceae" "Dryas octopetala" "J.G.Gmel." 4 TRUE FALSE FALSE TRUE FALSE "Dryas octopetala" "Dryas octopetala" 98231
"Dryas octopetala" "Dryas octopetala" "M.Bieb." "Unresolved" "Rosaceae" "Dryas octopetala" "M.Bieb." 4 TRUE FALSE FALSE TRUE FALSE "Dryas octopetala" "Dryas octopetala" 98231
"Dryas octopetala" "Dryas octopetala" "Makino" "Unresolved" "Rosaceae" "Dryas octopetala" "Makino" 4 TRUE FALSE FALSE TRUE FALSE "Dryas octopetala" "Dryas octopetala" 98231
"Dupontia fisheri" "Dupontia fisheri" "R.Br." "Accepted" "Poaceae" "Dupontia fisheri" "R.Br." 1 TRUE FALSE FALSE FALSE FALSE "Dupontia fisheri" "Dupontia fisheri" 3249
"Dupontia fisheri" "Dupontia psilosantha" "(Rupr.) Griseb." "Synonym" "Poaceae" "Dupontia fisheri" "R.Br." 2 FALSE FALSE FALSE FALSE FALSE "Dupontia fisheri" "Dupontia fisheri" 3249
"Dupontia fisheri" "Dupontia psilosantha" "Rupr." "Synonym" "Poaceae" "Dupontia fisheri" "R.Br." 2 FALSE FALSE FALSE FALSE FALSE "Dupontia fisheri" "Dupontia fisheri" 3249
