"GBIF_name" "SCIENTIFIC_NAME" "AUTHOR" "STATUS" "FAMILY" "ACCEPTED_SPECIES" "ACCEPTED_AUTHOR" "n_sci" "one_is_acc" "all_unresolved" "just_one_syn" "one_is_un" "non_vasc_typo" "SPECIES_NAME" "ITEX_name" "n_occ"
"Alchemilla caucasica" "Alchemilla caucasica" "Buser" "Accepted" "Rosaceae" "Alchemilla caucasica" "Buser" 1 TRUE FALSE FALSE FALSE FALSE "Alchemilla caucasica" "Alchemilla caucasica" 70
"Alchemilla vulgaris" "Alchemilla vulgaris" "Willd." "Unresolved" "Rosaceae" "Alchemilla vulgaris" "Willd." 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Alchemilla vulgaris" "Alchemilla vulgaris" "Wight" "Unresolved" "Rosaceae" "Alchemilla vulgaris" "Wight" 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Alchemilla vulgaris" "Alchemilla vulgaris" "L." "Unresolved" "Rosaceae" "Alchemilla vulgaris" "L." 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Alchemilla vulgaris" "Alchemilla vulgaris" "S.E.Fr”hner" "Unresolved" "Rosaceae" "Alchemilla vulgaris" "S.E.Fr”hner" 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Alchemilla vulgaris" "Alchemilla vulgaris" "Buser" "Unresolved" "Rosaceae" "Alchemilla vulgaris" "Buser" 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Alchemilla vulgaris" "Alchemilla vulgaris" "auct." "Synonym" "Rosaceae" "Alchemilla xanthochlora" "Rothm." 6 FALSE FALSE FALSE TRUE FALSE "Alchemilla vulgaris" "Alchemilla vulgaris" 55541
"Allium geyeri" "Allium geyeri" "S.Watson" "Accepted" "Amaryllidaceae" "Allium geyeri" "S.Watson" 1 TRUE FALSE FALSE FALSE FALSE "Allium geyeri" "Allium geyeri" 2710
"Alopecurus alpinus Vill." "Alopecurus alpinus" "Vill." "Accepted" "Poaceae" "Alopecurus alpinus" "Vill." 2 TRUE FALSE FALSE FALSE FALSE "Alopecurus alpinus" "Alopecurus alpinus" 3824
"Alopecurus alpinus Vill." "Alopecurus alpinus" "Sm." "Synonym" "Poaceae" "Alopecurus magellanicus" "Lam." 2 TRUE FALSE FALSE FALSE FALSE "Alopecurus alpinus" "Alopecurus alpinus" 3824
"Alopecurus magellanicus" "Alopecurus borealis" "Trin." "Synonym" "Poaceae" "Alopecurus magellanicus" "Lam." 1 FALSE FALSE TRUE FALSE FALSE "Alopecurus magellanicus" "Alopecurus magellanicus" 4371
"Alopecurus magellanicus" "Alopecurus magellanicus" "Lam." "Accepted" "Poaceae" "Alopecurus magellanicus" "Lam." 1 TRUE FALSE FALSE FALSE FALSE "Alopecurus magellanicus" "Alopecurus magellanicus" 4371
"Alopecurus pratensis" "Alopecurus pratensis" "L." "Accepted" "Poaceae" "Alopecurus pratensis" "L." 2 TRUE FALSE FALSE FALSE FALSE "Alopecurus pratensis" "Alopecurus pratensis" 432031
"Alopecurus pratensis" "Alopecurus pratensis" "Bourg. ex Lange" "Synonym" "Poaceae" "Alopecurus arundinaceus" "Poir." 2 TRUE FALSE FALSE FALSE FALSE "Alopecurus pratensis" "Alopecurus pratensis" 432031
"Anaphalis lactea" "Anaphalis lactea" "Maxim." "Accepted" "Compositae" "Anaphalis lactea" "Maxim." 1 TRUE FALSE FALSE FALSE FALSE "Anaphalis lactea" "Anaphalis lactea" 410
