"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
4075200,"Melicytus dentatus (R.Br. ex DC.) Molloy & Mabb.","Melicytus dentatus","SPECIES","ACCEPTED",86,"FUZZY","Plantae","Tracheophyta","Malpighiales","Violaceae","Melicytus","Melicytus dentatus",6,7707728,220,1414,6631,2874465,4075200,FALSE,"Magnoliopsida",NA,"Melicitus dentata",935,"Melicitus","Melicytus dentatus"
3639262,"Oreomyrrhis eriopoda (DC.) Hook.fil.","Oreomyrrhis eriopoda","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Apiales","Apiaceae","Chaerophyllum","Chaerophyllum eriopodum",6,7707728,220,1351,6720,3034649,3641997,TRUE,"Magnoliopsida",3641997,"Oreomyrrhis eriopoda",936,"Oreomyrrhis","Chaerophyllum eriopodum"
3569479,"Pimelea alpina F.Muell. ex Meisn.","Pimelea alpina","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Thymelaeaceae","Pimelea","Pimelea alpina",6,7707728,220,941,2428,7661118,3569479,FALSE,"Magnoliopsida",NA,"Pimelea alpina",938,"Pimelea","Pimelea alpina"
4155316,"Plantago euryphylla B.G.Briggs, Carolin & Pulley","Plantago euryphylla","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Plantaginaceae","Plantago","Plantago euryphylla",6,7707728,220,408,2420,3189695,4155316,FALSE,"Magnoliopsida",NA,"Plantago euryphylla",940,"Plantago","Plantago euryphylla"
3104535,"Euchiton fordianus (M.Gray) P.S.Short","Euchiton fordianus","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Argyrotegium","Argyrotegium fordianum",6,7707728,220,414,3065,3104532,3104533,TRUE,"Magnoliopsida",3104533,"Euchiton fordianus",943,"Euchiton","Argyrotegium fordianum"
3104547,"Euchiton nitidulus (Hook.fil.) Anderb.","Euchiton nitidulus","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Argyrotegium","Argyrotegium nitidulum",6,7707728,220,414,3065,3104532,3104546,TRUE,"Magnoliopsida",3104546,"Euchiton nitidulus",944,"Euchiton","Argyrotegium nitidulum"
5399445,"Microseris lanceolata (Walp.) Sch.Bip.","Microseris lanceolata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Microseris","Microseris lanceolata",6,7707728,220,414,3065,3130201,5399445,FALSE,"Magnoliopsida",NA,"Microseris lanceolata",945,"Microseris","Microseris lanceolata"
5358748,"Trifolium repens L.","Trifolium repens","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Trifolium","Trifolium repens",6,7707728,220,1370,5386,2973363,5358748,FALSE,"Magnoliopsida",NA,"Trifolium repens",946,"Trifolium","Trifolium repens"
7296623,"Viola betonicifolia Sm.","Viola betonicifolia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malpighiales","Violaceae","Viola","Viola betonicifolia",6,7707728,220,1414,6631,2874237,7296623,FALSE,"Magnoliopsida",NA,"Viola betonicifolia",947,"Viola","Viola betonicifolia"
5588436,"Colobanthus affinis (Hook.) Hook.fil.","Colobanthus affinis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Colobanthus","Colobanthus affinis",6,7707728,220,422,2518,3231759,5588436,FALSE,"Magnoliopsida",NA,"Colobanthus affinis",948,"Colobanthus","Colobanthus affinis"
