"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
10407079,"Cladina mitis (Sandst.) Mong.","Cladina mitis","SPECIES","SYNONYM",98,"EXACT","Fungi","Ascomycota","Lecanorales","Cladoniaceae","Cladonia","Cladonia mitis",5,95,180,1048,8328,2607519,2607650,"Lecanoromycetes",2607650,NA,"Cladina mitis",3,"Cladina","Cladonia mitis"
2607651,"Cladina mitis (Sandst.) Hustich","Cladina mitis","SPECIES","SYNONYM",98,"EXACT","Fungi","Ascomycota","Lecanorales","Cladoniaceae","Cladonia","Cladonia mitis",5,95,180,1048,8328,2607519,2607650,"Lecanoromycetes",2607650,NA,"Cladina mitis",3,"Cladina","Cladonia mitis"
11308630,"Festuca spec Boenn.","Festuca","SPECIES","SYNONYM",28,"EXACT","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca ovina",6,7707728,196,1369,3073,2704913,2704951,"Liliopsida",2704951,NA,"Festuca Brachiphylla",7,"Festuca",NA
11293998,"Festuca spec Boenn. ex Rchb.","Festuca","SPECIES","SYNONYM",28,"EXACT","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca ovina",6,7707728,196,1369,3073,2704913,2704951,"Liliopsida",2704951,NA,"Festuca Brachiphylla",7,"Festuca",NA
12261912,"Festuca caeruleosaxatilis","Festuca caeruleosaxatilis","SPECIES","ACCEPTED",-3,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca caeruleosaxatilis",6,7707728,196,1369,3073,2704913,12261912,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4124201,"Festuca foenas","Festuca foenas","SPECIES","ACCEPTED",-3,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca foenas",6,7707728,196,1369,3073,2704913,4124201,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
6710680,"Festuca hybr","Festuca hybr","SPECIES","ACCEPTED",-3,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca hybr",6,7707728,196,1369,3073,2704913,6710680,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
7324953,"Festuca leneneis","Festuca leneneis","SPECIES","ACCEPTED",-3,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca leneneis",6,7707728,196,1369,3073,2704913,7324953,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
8314636,"Festuca pseudoguestfalica","Festuca pseudoguestfalica","SPECIES","SYNONYM",-4,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca guestfalica",6,7707728,196,1369,3073,2704913,4123395,"Liliopsida",4123395,NA,"Festuca Brachiphylla",7,"Festuca",NA
11344971,"Festuca rubt","Festuca rubt","SPECIES","SYNONYM",-4,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca rubra",6,7707728,196,1369,3073,2704913,2704922,"Liliopsida",2704922,NA,"Festuca Brachiphylla",7,"Festuca",NA
4111856,"Festuca urii Bishop","Festuca urii","SPECIES","DOUBTFUL",-44,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca urii",6,7707728,196,1369,3073,2704913,4111856,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4129667,"Festuca acuminata Gaudin","Festuca acuminata","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca acuminata",6,7707728,196,1369,3073,2704913,4129667,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4129491,"Festuca aguana E.B.Alexeev","Festuca aguana","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca aguana",6,7707728,196,1369,3073,2704913,4129491,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4128321,"Festuca asperula Vickery","Festuca asperula","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca asperula",6,7707728,196,1369,3073,2704913,4128321,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4127802,"Festuca bidenticulata E.B.Alexeev","Festuca bidenticulata","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca bidenticulata",6,7707728,196,1369,3073,2704913,4127802,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
2704987,"Festuca heterophylla Lam.","Festuca heterophylla","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca heterophylla",6,7707728,196,1369,3073,2704913,2704987,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4121046,"Festuca longiligula Darbysh.","Festuca longiligula","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca longiligula",6,7707728,196,1369,3073,2704913,4121046,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4120641,"Festuca markgrafiae Veldkamp","Festuca markgrafiae","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca markgrafiae",6,7707728,196,1369,3073,2704913,4120641,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4114365,"Festuca scabra Vahl","Festuca scabra","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca scabra",6,7707728,196,1369,3073,2704913,4114365,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4111439,"Festuca schischkinii Krivot.","Festuca schischkinii","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca schischkinii",6,7707728,196,1369,3073,2704913,4111439,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4113813,"Festuca skrjabinii E.B.Alexeev","Festuca skrjabinii","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca skrjabinii",6,7707728,196,1369,3073,2704913,4113813,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
