"SPECIES_NAME","GENUS","SPECIES_NAME_trimmed","full_species_name"
"Xerochrysum subundulatum","Xerochrysum","Xerochrysum subundulatum",TRUE
"XXXACROMOSS","XXXACROMOSS","XXXACROMOSS",FALSE
"XXXALECTORIA","XXXALECTORIA","XXXALECTORIA",FALSE
"XXXALGAE","XXXALGAE","XXXALGAE",FALSE
"XXXALL","XXXALL","XXXALL",FALSE
"XXXANEURA","XXXANEURA","XXXANEURA",FALSE
"XXXAntennaria","XXXAntennaria","XXXAntennaria",FALSE
"XXXANTENNARIA","XXXANTENNARIA","XXXANTENNARIA",FALSE
"XXXANTHELIA","XXXANTHELIA","XXXANTHELIA",FALSE
"XXXASH","XXXASH","XXXASH",FALSE
"XXXasteraceae","XXXasteraceae","XXXasteraceae",FALSE
"XXXAulacomnium","XXXAulacomnium","XXXAulacomnium",FALSE
"XXXAULACOMNIUM","XXXAULACOMNIUM","XXXAULACOMNIUM",FALSE
"XXXBARE","XXXBARE","XXXBARE",FALSE
"XXXbareground","XXXbareground","XXXbareground",FALSE
"XXXBG","XXXBG","XXXBG",FALSE
"XXXBLACKCRUST","XXXBLACKCRUST","XXXBLACKCRUST",FALSE
"XXXBLACRU","XXXBLACRU","XXXBLACRU",FALSE
"XXXBROWNLICHEN","XXXBROWNLICHEN","XXXBROWNLICHEN",FALSE
"XXXBRYOPH","XXXBRYOPH","XXXBRYOPH",FALSE
"XXXcarex","XXXcarex","XXXcarex",FALSE
"XXXCAREX","XXXCAREX","XXXCAREX",FALSE
"XXXCAREX1","XXXCAREX1","XXXCAREX1",FALSE
"XXXCAREX2","XXXCAREX2","XXXCAREX2",FALSE
"XXXCAREX4","XXXCAREX4","XXXCAREX4",FALSE
"XXXCAREX6","XXXCAREX6","XXXCAREX6",FALSE
"XXXCAREX7","XXXCAREX7","XXXCAREX7",FALSE
"XXXcetraria","XXXcetraria","XXXcetraria",FALSE
"XXXcladonia","XXXcladonia","XXXcladonia",FALSE
"XXXCladonia","XXXCladonia","XXXCladonia",FALSE
"XXXCOMP","XXXCOMP","XXXCOMP",FALSE
"XXXCRULIC","XXXCRULIC","XXXCRULIC",FALSE
"XXXCRUST","XXXCRUST","XXXCRUST",FALSE
"XXXCRUST_LICHEN","XXXCRUST_LICHEN","XXXCRUST_LICHEN",FALSE
"XXXcrustous","XXXcrustous","XXXcrustous",FALSE
"XXXDARCRU","XXXDARCRU","XXXDARCRU",FALSE
"XXXDEAD","XXXDEAD","XXXDEAD",FALSE
"XXXDECOMP","XXXDECOMP","XXXDECOMP",FALSE
"XXXDICRANELLA","XXXDICRANELLA","XXXDICRANELLA",FALSE
"XXXDICRANUM","XXXDICRANUM","XXXDICRANUM",FALSE
"XXXDISDIC","XXXDISDIC","XXXDISDIC",FALSE
"XXXDRABA","XXXDRABA","XXXDRABA",FALSE
"XXXDrepanacladus","XXXDrepanacladus","XXXDrepanacladus",FALSE
"XXXDREPANOCLADUS","XXXDREPANOCLADUS","XXXDREPANOCLADUS",FALSE
"XXXDRESP","XXXDRESP","XXXDRESP",FALSE
"XXXDUNG","XXXDUNG","XXXDUNG",FALSE
"XXXDUPONTIA","XXXDUPONTIA","XXXDUPONTIA",FALSE
"XXXEquisetum","XXXEquisetum","XXXEquisetum",FALSE
"XXXERIST","XXXERIST","XXXERIST",FALSE
"XXXFABSPP","XXXFABSPP","XXXFABSPP",FALSE
"XXXFEATHMOSS","XXXFEATHMOSS","XXXFEATHMOSS",FALSE
"XXXFECES","XXXFECES","XXXFECES",FALSE
"XXXFISSIDANS","XXXFISSIDANS","XXXFISSIDANS",FALSE
"XXXFIXED","XXXFIXED","XXXFIXED",FALSE
"XXXFlavocetraria","XXXFlavocetraria","XXXFlavocetraria",FALSE
"XXXFLDBLC","XXXFLDBLC","XXXFLDBLC",FALSE
"XXXFORB","XXXFORB","XXXFORB",FALSE
"XXXfungus","XXXfungus","XXXfungus",FALSE
"XXXFUNGUS","XXXFUNGUS","XXXFUNGUS",FALSE
"XXXGRAEQU","XXXGRAEQU","XXXGRAEQU",FALSE
"XXXGRASS","XXXGRASS","XXXGRASS",FALSE
"XXXGRAVEL","XXXGRAVEL","XXXGRAVEL",FALSE
"XXXGRUBHOLES","XXXGRUBHOLES","XXXGRUBHOLES",FALSE
"XXXHEPATIC","XXXHEPATIC","XXXHEPATIC",FALSE
"XXXHepatophyte","XXXHepatophyte","XXXHepatophyte",FALSE
"XXXHIERACIUM","XXXHIERACIUM","XXXHIERACIUM",FALSE
"XXXHOLE","XXXHOLE","XXXHOLE",FALSE
"XXXkobresia","XXXkobresia","XXXkobresia",FALSE
"XXXLEGSPP","XXXLEGSPP","XXXLEGSPP",FALSE
"XXXLFOLI","XXXLFOLI","XXXLFOLI",FALSE
"XXXLICBLFRUT","XXXLICBLFRUT","XXXLICBLFRUT",FALSE
"XXXLICHEN","XXXLICHEN","XXXLICHEN",FALSE
"XXXLICHENSPP","XXXLICHENSPP","XXXLICHENSPP",FALSE
"XXXLICHENU","XXXLICHENU","XXXLICHENU",FALSE
"XXXLITTER","XXXLITTER","XXXLITTER",FALSE
"XXXLIVERLE","XXXLIVERLE","XXXLIVERLE",FALSE
"XXXLIVERU","XXXLIVERU","XXXLIVERU",FALSE
"XXXliverwort","XXXliverwort","XXXliverwort",FALSE
"XXXLOBEDMOSS","XXXLOBEDMOSS","XXXLOBEDMOSS",FALSE
"XXXluzula","XXXluzula","XXXluzula",FALSE
"XXXLUZULA","XXXLUZULA","XXXLUZULA",FALSE
"XXXMACRO","XXXMACRO","XXXMACRO",FALSE
"XXXMARKER","XXXMARKER","XXXMARKER",FALSE
"XXXMISSING","XXXMISSING","XXXMISSING",FALSE
"XXXmoss","XXXmoss","XXXmoss",FALSE
"XXXMOSS","XXXMOSS","XXXMOSS",FALSE
"XXXMOSS+LICHEN","XXXMOSS+LICHEN","XXXMOSS+LICHEN",FALSE
"XXXMPLEUR","XXXMPLEUR","XXXMPLEUR",FALSE
"XXXMUD","XXXMUD","XXXMUD",FALSE
"XXXMUSHROOM","XXXMUSHROOM","XXXMUSHROOM",FALSE
"XXXNA","XXXNA","XXXNA",FALSE
"XXXNEPPEL","XXXNEPPEL","XXXNEPPEL",FALSE
"XXXNODATA","XXXNODATA","XXXNODATA",FALSE
"XXXNONVASC","XXXNONVASC","XXXNONVASC",FALSE
"XXXORANGELICHEN","XXXORANGELICHEN","XXXORANGELICHEN",FALSE
"XXXORBRLI","XXXORBRLI","XXXORBRLI",FALSE
"XXXORCHID","XXXORCHID","XXXORCHID",FALSE
"XXXORGCRU","XXXORGCRU","XXXORGCRU",FALSE
"XXXORGWET","XXXORGWET","XXXORGWET",FALSE
"XXXOTHER","XXXOTHER","XXXOTHER",FALSE
"XXXotheraster","XXXotheraster","XXXotheraster",FALSE
"XXXotherforb","XXXotherforb","XXXotherforb",FALSE
"XXXotherfungus","XXXotherfungus","XXXotherfungus",FALSE
"XXXothergram","XXXothergram","XXXothergram",FALSE
"XXXotherherb","XXXotherherb","XXXotherherb",FALSE
"XXXotherlichen","XXXotherlichen","XXXotherlichen",FALSE
"XXXothermoss","XXXothermoss","XXXothermoss",FALSE
"XXXoxytropis","XXXoxytropis","XXXoxytropis",FALSE
"XXXPARMELIA","XXXPARMELIA","XXXPARMELIA",FALSE
"XXXpedicularis","XXXpedicularis","XXXpedicularis",FALSE
"XXXpeltigera","XXXpeltigera","XXXpeltigera",FALSE
"XXXPeltigera","XXXPeltigera","XXXPeltigera",FALSE
"XXXPERUSA","XXXPERUSA","XXXPERUSA",FALSE
"XXXPKBTLC","XXXPKBTLC","XXXPKBTLC",FALSE
"XXXPLANT","XXXPLANT","XXXPLANT",FALSE
"XXXPOA","XXXPOA","XXXPOA",FALSE
"XXXPogonatum","XXXPogonatum","XXXPogonatum",FALSE
"XXXPOHLIA","XXXPOHLIA","XXXPOHLIA",FALSE
"XXXPOHSPP","XXXPOHSPP","XXXPOHSPP",FALSE
"XXXPOLYGSPP","XXXPOLYGSPP","XXXPOLYGSPP",FALSE
"XXXPolytrichum","XXXPolytrichum","XXXPolytrichum",FALSE
"XXXPOO","XXXPOO","XXXPOO",FALSE
"XXXPOOBIRD","XXXPOOBIRD","XXXPOOBIRD",FALSE
"XXXPOOCARIBOU","XXXPOOCARIBOU","XXXPOOCARIBOU",FALSE
"XXXPOOFOX","XXXPOOFOX","XXXPOOFOX",FALSE
"XXXPOOGOOSE","XXXPOOGOOSE","XXXPOOGOOSE",FALSE
"XXXPOOLEMMING","XXXPOOLEMMING","XXXPOOLEMMING",FALSE
"XXXPyrola","XXXPyrola","XXXPyrola",FALSE
"XXXRacomitrium","XXXRacomitrium","XXXRacomitrium",FALSE
"XXXrock","XXXrock","XXXrock",FALSE
"XXXROCK","XXXROCK","XXXROCK",FALSE
"XXXRUSH","XXXRUSH","XXXRUSH",FALSE
"XXXRYTIDOSPERMA","XXXRYTIDOSPERMA","XXXRYTIDOSPERMA",FALSE
"XXXSAGINA","XXXSAGINA","XXXSAGINA",FALSE
"XXXSalix","XXXSalix","XXXSalix",FALSE
"XXXSALIX","XXXSALIX","XXXSALIX",FALSE
"XXXSAND","XXXSAND","XXXSAND",FALSE
"XXXSAXIFRAGA","XXXSAXIFRAGA","XXXSAXIFRAGA",FALSE
"XXXSDECI","XXXSDECI","XXXSDECI",FALSE
"XXXSDM","XXXSDM","XXXSDM",FALSE
"XXXSEDGE","XXXSEDGE","XXXSEDGE",FALSE
"XXXSEEDLING","XXXSEEDLING","XXXSEEDLING",FALSE
"XXXSEVER","XXXSEVER","XXXSEVER",FALSE
"XXXSHRUB","XXXSHRUB","XXXSHRUB",FALSE
"XXXSphagnum","XXXSphagnum","XXXSphagnum",FALSE
"Xxxspider","Xxxspider","Xxxspider",FALSE
"XXXspider","XXXspider","XXXspider",FALSE
"XXXSTAKE","XXXSTAKE","XXXSTAKE",FALSE
"XXXSTAKEHOLD","XXXSTAKEHOLD","XXXSTAKEHOLD",FALSE
"XXXstandingwater","XXXstandingwater","XXXstandingwater",FALSE
"XXXSTELLARIA","XXXSTELLARIA","XXXSTELLARIA",FALSE
"XXXStereocaulon","XXXStereocaulon","XXXStereocaulon",FALSE
"XXXSTONE","XXXSTONE","XXXSTONE",FALSE
"XXXTAG","XXXTAG","XXXTAG",FALSE
"XXXTAPE","XXXTAPE","XXXTAPE",FALSE
"XXXTaraxacum","XXXTaraxacum","XXXTaraxacum",FALSE
"XXXTARAXACUM","XXXTARAXACUM","XXXTARAXACUM",FALSE
"XXXTofieldia","XXXTofieldia","XXXTofieldia",FALSE
"XXXTUBE","XXXTUBE","XXXTUBE",FALSE
"XXXUNIFOR","XXXUNIFOR","XXXUNIFOR",FALSE
"XXXUNKALG","XXXUNKALG","XXXUNKALG",FALSE
"XXXUNKCRUBLA","XXXUNKCRUBLA","XXXUNKCRUBLA",FALSE
"XXXUNKCRULIC","XXXUNKCRULIC","XXXUNKCRULIC",FALSE
"XXXUNKDIC","XXXUNKDIC","XXXUNKDIC",FALSE
"XXXUNKFOLLIC","XXXUNKFOLLIC","XXXUNKFOLLIC",FALSE
"XXXUNKFRULIC","XXXUNKFRULIC","XXXUNKFRULIC",FALSE
"XXXUNKGELLIC","XXXUNKGELLIC","XXXUNKGELLIC",FALSE
"XXXunkgram","XXXunkgram","XXXunkgram",FALSE
"XXXUNKLCR","XXXUNKLCR","XXXUNKLCR",FALSE
"XXXUNKMON","XXXUNKMON","XXXUNKMON",FALSE
"XXXUNKNOWN","XXXUNKNOWN","XXXUNKNOWN",FALSE
"XXXUNKNOWNCOMPOSITE","XXXUNKNOWNCOMPOSITE","XXXUNKNOWNCOMPOSITE",FALSE
"XXXunkOxytropis","XXXunkOxytropis","XXXunkOxytropis",FALSE
"XXXUNKSHRUB","XXXUNKSHRUB","XXXUNKSHRUB",FALSE
"XXXunkwoody","XXXunkwoody","XXXunkwoody",FALSE
"XXXVASC","XXXVASC","XXXVASC",FALSE
"XXXVIOLA","XXXVIOLA","XXXVIOLA",FALSE
"XXXWANSTO","XXXWANSTO","XXXWANSTO",FALSE
"XXXWATER","XXXWATER","XXXWATER",FALSE
"XXXWHITECRUST","XXXWHITECRUST","XXXWHITECRUST",FALSE
"XXXWOODYDRYAS","XXXWOODYDRYAS","XXXWOODYDRYAS",FALSE
"XXXWOOL","XXXWOOL","XXXWOOL",FALSE
"XXXXXX","XXXXXX","XXXXXX",FALSE
