"SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME"
"Antennaria friesiana","(Trautv.) Ekman","Accepted","Compositae","Antennaria friesiana","(Trautv.) Ekman",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Antennaria friesiana"
"Anthoxanthum odoratum","L.","Accepted","Poaceae","Anthoxanthum odoratum","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Anthoxanthum odoratum"
"Arabis alpina","L.","Accepted","Brassicaceae","Arabis alpina","L.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Arabis alpina"
"Arabis alpina","Georgi","Synonym","Brassicaceae","Arabis caucasica","Willd.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Arabis alpina"
"Arabis alpina","Lucé","Synonym","Brassicaceae","Arabis planisiliqua","(Pers.) Rchb.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Arabis alpina"
"Arabis alpina","Krock. ex Steud.","Synonym","Brassicaceae","Arabis sagittata","(Bertol.) DC.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Arabis alpina"
"Arabis petraea","(L.) Lam.","Synonym","Brassicaceae","Arabidopsis lyrata subsp. petraea","(L.) O'Kane & Al-Shehbaz",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Arabidopsis lyrata subsp. petraea"
"Arctagrostis latifolia","(R.Br.) Griseb.","Accepted","Poaceae","Arctagrostis latifolia","(R.Br.) Griseb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Arctagrostis latifolia"
"Arctophila fulva","(Trin.) Andersson","Accepted","Poaceae","Arctophila fulva","(Trin.) Andersson",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Arctophila fulva"
"Arctostaphylos alpina","(L.) Spreng.","Synonym","Ericaceae","Arctous alpina","(L.) Nied.",2,FALSE,FALSE,FALSE,FALSE,FALSE,"Arctous alpina"
"Arctostaphylos alpina","Payot","Synonym","Ericaceae","Comarostaphylis polifolia","(Kunth) Zucc. ex Klotzsch",2,FALSE,FALSE,FALSE,FALSE,FALSE,"Arctous alpina"
"Arctostaphylos rubra","(Rehder & E.H.Wilson) Fernald","Synonym","Ericaceae","Arctous rubra","(Rehder & E.H.Wilson) Nakai",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Arctous rubra"
"Arctous alpina","(L.) Nied.","Accepted","Ericaceae","Arctous alpina","(L.) Nied.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Arctous alpina"
"Arenaria norvegica","Gunnerus","Accepted","Caryophyllaceae","Arenaria norvegica","Gunnerus",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Arenaria norvegica"
"Arenaria pseudofrigida","(Ostenf. & O.C.Dahl) Steffen","Accepted","Caryophyllaceae","Arenaria pseudofrigida","(Ostenf. & O.C.Dahl) Steffen",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Arenaria pseudofrigida"
"Arenaria pseudofrigida","(Ostenf. & O.C. Dahl) Juz. ex Schischk. & Knorring","Synonym","Caryophyllaceae","Arenaria pseudofrigida","(Ostenf. & O.C.Dahl) Steffen",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Arenaria pseudofrigida"
"Armeria maritima","(Mill.) Willd.","Accepted","Plumbaginaceae","Armeria maritima","(Mill.) Willd.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Armeria maritima"
"Armeria maritima","Girard ex Boiss.","Synonym","Plumbaginaceae","Armeria ruscinonensis","Girard",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Armeria maritima"
"Arnica alpina","Willd. ex Steud.","Synonym","Compositae","Arnica montana","L.",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Arnica angustifolia"
"Arnica alpina","(L.) Olin & Ladau","Synonym","Compositae","Arnica angustifolia","Vahl",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Arnica angustifolia"
"Arnica alpina","Salisb.","Synonym","Compositae","Arnica stricta subsp. alpina","(L.) I.K.Ferguson",3,FALSE,FALSE,FALSE,FALSE,FALSE,"Arnica angustifolia"
"Arnica frigida","C.A.Mey. ex Iljin","Synonym","Compositae","Arnica griscomii subsp. frigida","(C.A.Mey. ex Iljin) S.J.Wolf",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Arnica griscomii subsp. frigida"
"Arnica lessingii","(Torr. & A.Gray) Greene","Accepted","Compositae","Arnica lessingii","(Torr. & A.Gray) Greene",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Arnica lessingii"
"Artemisia arctica","(Besser) Leonova","Accepted","Compositae","Artemisia arctica","(Besser) Leonova",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia arctica"
"Artemisia arctica","Besser","Synonym","Compositae","Artemisia borealis subsp. richardsoniana","(Besser) Korobkov",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia arctica"
"Artemisia arctica","Less.","Synonym","Compositae","Artemisia norvegica subsp. saxatilis","(Besser) H.M.Hall & Clem.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia arctica"
"Artemisia borealis","Kitam.","Unresolved","Compositae","Artemisia borealis","Kitam.",3,FALSE,FALSE,FALSE,TRUE,FALSE,"Artemisia borealis"
"Artemisia borealis","Liou","Unresolved","Compositae","Artemisia borealis","Liou",3,FALSE,FALSE,FALSE,TRUE,FALSE,"Artemisia borealis"
"Artemisia borealis","Pall.","Synonym","Compositae","Artemisia campestris subsp. borealis","(Pall.) H.M.Hall & Clem.",3,FALSE,FALSE,FALSE,TRUE,FALSE,"Artemisia borealis"
"Artemisia glomerata","Ledeb.","Accepted","Compositae","Artemisia glomerata","Ledeb.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia glomerata"
"Artemisia glomerata","Hook. & Arn.","Synonym","Compositae","Artemisia senjavinensis","Besser",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia glomerata"
"Artemisia glomerata","Sieber ex Spreng.","Synonym","Compositae","Artemisia sieberi","Besser",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Artemisia glomerata"
"Astragalus alpinus","L.","Accepted","Leguminosae","Astragalus alpinus","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Astragalus alpinus"
"Astragalus alpinus","(L.) E.Sheld.","Synonym","Leguminosae","Astragalus penduliflorus","Lam.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Astragalus alpinus"
"Astragalus frigidus","(L.) A.Gray","Accepted","Leguminosae","Astragalus frigidus","(L.) A.Gray",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Astragalus frigidus"
"Astragalus frigidus","(uct. non (L.) A.Gray","Misapplied","Leguminosae","Astragalus tecti-mundi","Freyn",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Astragalus frigidus"
"Astragalus umbellatus","Bunge","Accepted","Leguminosae","Astragalus umbellatus","Bunge",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Astragalus umbellatus"
"Avenella flexuosa","(L.) Drejer","Synonym","Poaceae","Deschampsia flexuosa","(L.) Trin.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Deschampsia flexuosa"
"Bartsia alpina","L.","Accepted","Orobanchaceae","Bartsia alpina","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Bartsia alpina"
"Betula glandulosa","Michx.","Accepted","Betulaceae","Betula glandulosa","Michx.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Betula glandulosa"
"Betula nana","L.","Accepted","Betulaceae","Betula nana","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Betula nana"
"Betula pubescens","Ehrh.","Accepted","Betulaceae","Betula pubescens","Ehrh.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Betula pubescens"
"Bistorta vivipara","(L.) Delarbre","Synonym","Polygonaceae","Persicaria vivipara","(L.) Ronse Decr.",2,FALSE,FALSE,FALSE,FALSE,FALSE,"Bistorta vivipara"
"Bistorta vivipara","(L.) Gray","Synonym","Polygonaceae","Persicaria vivipara","(L.) Ronse Decr.",2,FALSE,FALSE,FALSE,FALSE,FALSE,"Bistorta vivipara"
"Boykinia richardsonii","(Hook.) A.Gray ex B.D.Jacks.","Accepted","Saxifragaceae","Boykinia richardsonii","(Hook.) A.Gray ex B.D.Jacks.",2,TRUE,FALSE,FALSE,TRUE,FALSE,"Boykinia richardsonii"
"Boykinia richardsonii","(Hook.) Rothr.","Unresolved","Saxifragaceae","Boykinia richardsonii","(Hook.) Rothr.",2,TRUE,FALSE,FALSE,TRUE,FALSE,"Boykinia richardsonii"
