Species;STI;STIsd
Trifolium arvense;9.700964404;3.619318353
Viola arvensis;8.623803727;3.564905512
Agrostemma githago;9.440023431;3.846903065
Echium vulgare;9.841665188;3.524063926
Lamium amplexicaule;9.068777007;3.943402596
Ranunculus flammula;8.61476516;3.536792968
Sambucus nigra;9.981110245;2.923400677
Trifolium fragiferum;10.44311721;3.214351004
Artemisia vulgaris;8.045544482;3.89279207
Gnaphalium uliginosum;8.016189877;3.509618838
Carex flava;7.507792259;3.916337169
Crataegus monogyna;10.09332099;3.348788658
Festuca arundinacea;9.174943198;2.430739277
Glechoma hederacea;8.354661008;3.448435074
Glyceria fluitans;9.102994919;3.831066079
Iris pseudacorus;9.401308377;3.520567457
Lapsana communis;9.004448728;3.621440395
Salix purpurea;10.27402195;3.139630341
Alnus glutinosa;9.16374872;3.670495802
Briza media;9.089888869;3.021812559
Rubus caesius;9.522874826;2.882625336
Geranium lucidum;11.25033643;3.38645472
Lythrum salicaria;9.485957103;3.278446163
Clinopodium vulgare;9.723762889;3.532566515
Senecio jacobaea;9.03513847;2.728415727
Solanum dulcamara;9.613275035;3.446563768
Ranunculus bulbosus;10.03973232;3.311363195
Festuca pratensis;7.815142877;3.401403844
Geum urbanum;9.007283057;3.577678159
Potentilla reptans;9.985146969;3.225505817
Prunus spinosa;9.94546764;2.792865844
Ranunculus ficaria;9.74848199;3.389800964
Rosa canina;9.987121247;3.210862113
Epilobium montanum;8.028265139;3.542032908
Juncus bulbosus;7.535468934;3.271119879
Sedum telephium;8.63414361;2.952188032
Arabis hirsuta;8.872318869;3.848371603
Carex disticha;8.316146546;2.193036896
Mentha arvensis;7.239835098;3.342026328
Aster tripolium;9.051215535;2.974289407
Lobelia dortmanna;4.855637545;3.058583417
Nymphaea alba;9.234355979;3.22478648
Gnaphalium sylvaticum;7.140874713;3.517859818
Linum catharticum;8.497112279;2.940266791
Ophioglossum vulgatum;8.520464783;2.699048504
Schoenoplectus tabernaemontani;9.848865245;3.174269303
Tanacetum vulgare;7.531947351;3.863328861
Carex pilulifera;7.939265478;3.192086079
Stachys palustris;8.267146432;3.295543173
Alliaria petiolata;9.471290206;3.196733338
Drosera intermedia;8.252004175;3.125496339
Carex flacca;10.45811383;3.212047588
Hyoscyamus niger;9.4055959;3.374146904
Hypericum perforatum;9.763573323;3.449022361
Lepidium ruderale;9.217197775;3.658047568
Ranunculus arvensis;11.01120094;3.203297733
Saxifraga granulata;9.019389355;3.052009396
Sedum album;10.70127688;3.495482158
Veronica arvensis;9.455542058;3.599500344
Nuphar lutea;8.383497953;3.850992407
Pyrus communis;10.10180236;2.953524498
Artemisia campestris;9.210296271;3.436699244
Calluna vulgaris;7.221780975;4.128961306
Cirsium arvense;8.649979163;4.045823371
Dactylis glomerata;9.082611423;3.659802909
Phleum pratense;8.309313028;3.956195702
Plantago major;8.820277036;4.338762797
Prunella vulgaris;8.843925872;4.126372695
Pteridium aquilinum;9.338249702;3.747030182
Rumex acetosa;8.371345171;4.419750864
Salicornia europaea;11.14179215;4.033470344
Salsola kali;11.18249616;3.275511182
Spergularia marina;9.849109181;4.258309075
Stellaria media;8.361462887;4.408514092
Trifolium pratense;8.622780228;4.326717933
Trifolium repens;8.635273564;4.377939186
Veronica agrestis;8.507636116;3.301914131
Butomus umbellatus;9.082378891;3.314106562
Eupatorium cannabinum;9.577762843;2.910386162
Agrostis capillaris;7.842563781;4.175474292
Alisma plantago-aquatica;8.506918517;3.639859566
Anthoxanthum odoratum;7.967475047;4.31039756
Arabidopsis thaliana;9.056361635;3.524616224
Arctium minus;9.396594146;3.411267929
Arenaria serpyllifolia;9.096080698;3.593262265
Asplenium trichomanes;9.750100114;3.628011829
Atriplex prostrata;9.613466769;3.332901005
Bolboschoenus maritimus;9.635924984;2.974959512
Brassica rapa;8.624016437;4.10984545
Cardamine hirsuta;10.50656418;3.12541262
Centaurium pulchellum;10.45036314;3.020139307
Cerastium glutinosum;10.97057378;2.991048466
Cirsium palustre;8.183785688;3.439129064
Clinopodium acinos;9.121862695;3.325827635
Danthonia decumbens;8.267965392;2.618527243
Dryopteris dilatata;9.214437258;2.599620157
Erigeron acer;8.075506706;4.242652482
Fallopia convolvulus;8.664528899;3.880990042
Festuca rubra;8.102725522;4.27992783
Frangula alnus;7.894751042;3.738258528
Humulus lupulus;8.466435959;3.233387325
Juncus effusus;9.304272601;3.264459263
Lemna gibba;10.74429735;3.105391253
Lemna minor;9.452922651;3.271562544
Leucanthemum vulgare;7.800705667;4.054248623
Lonicera periclymenum;10.43794921;2.614412638
Medicago sativa;9.899793525;3.222874188
Papaver somniferum;9.474383414;3.820409375
Persicaria hydropiper;8.858522129;3.080095152
Persicaria lapathifolia;8.891984883;3.69859542
Persicaria minor;9.214713751;3.084568309
Philadelphus coronarius;13.56499614;3.735497672
Phragmites australis;8.4659966;4.233803739
Polygala vulgaris;9.428656117;3.206560926
Polypodium vulgare;8.189624048;4.358252621
Ranunculus aquatilis;9.031300337;2.812826743
Raphanus raphanistrum;9.322926705;3.475959651
Saponaria officinalis;9.772666873;3.080578662
Silene vulgaris;8.406529939;4.198385423
Sisymbrium officinale;9.708757292;3.223108651
Sparganium emersum;8.392414328;3.577649792
Spergula arvensis;8.531036139;4.16767177
Suaeda maritima;11.41855135;3.223862646
Typha angustifolia;9.450152951;3.142537787
Urtica urens;8.875827506;3.768773654
Veronica chamaedrys;8.176154421;3.728799177
Vicia hirsuta;9.158615019;3.583751083
Viola riviniana;8.43340128;3.754732213
Filipendula vulgaris;9.038249257;2.527457154
Agrostis canina;7.630117397;3.535632456
Alopecurus pratensis;7.833011799;3.856905265
Barbarea vulgaris;8.625015729;3.766372119
Deschampsia cespitosa;7.480679283;3.93910225
Festuca ovina;7.470259508;3.947065472
Quercus robur;8.669407583;2.701449467
Senecio sylvaticus;8.848969948;2.77816126
Taraxacum officinale;8.266369453;3.693563075
Typha latifolia;9.131717116;3.094493441
Vicia sativa;9.481568261;3.351939716
Colchicum autumnale;9.894924206;2.251959138
Cornus sanguinea;9.64181083;2.871163883
Erigeron acris;7.725325009;4.010137104
Matricaria recutita;9.266878219;3.744948814
Molinia caerulea;7.131705044;3.849661857
Asperugo procumbens;8.912222104;3.878360504
Myosotis ramosissima;10.3198839;3.130246552
Rosa gallica;10.1766341;2.903238114
Galium album;8.539502506;4.095472041
Galium palustre;7.901835757;4.202305625
Heracleum sphondylium;7.957516459;4.039695247
Geranium sanguineum;9.321057644;2.729318959
Rumex acetosella;7.936443506;4.261040122
Valerianella locusta;9.691174913;2.544070568
Anchusa arvensis;8.837576884;2.932662778
Carex leporina;7.912436311;3.491485597
Juncus compressus;9.258202563;3.066115941
Juncus conglomeratus;8.990049772;3.077314084
Torilis japonica;9.48452533;2.637688908
Veronica officinalis;8.114723318;3.716824059
Carex echinata;7.39618684;3.566748425
Helianthemum nummularium;9.5284952;2.849029791
Sorbus aucuparia;7.321157635;3.923335342
Ajuga pyramidalis;6.615731043;3.797335092
Artemisia absinthium;8.643917945;2.968099389
Ranunculus sceleratus;9.315271061;3.092322859
Alopecurus arundinaceus;9.020090622;3.775148415
Cerastium arvense;8.185696914;3.471302636
Corylus avellana;8.970884096;3.131065524
Milium effusum;7.477668677;3.979059718
Polygonatum odoratum;8.309521508;3.153852216
Prunus avium;9.277355272;2.276332572
Sorbus aria;10.19627985;3.546996605
Spergularia rubra;8.952217831;3.101555922
Carex spicata;9.652075423;3.164930647
Odontites vernus;9.150702141;3.056463561
Ribes uva-crispa;8.628975437;2.80194348
Sinapis arvensis;8.595972331;3.776954124
Lathyrus niger;8.777916411;2.893419804
Monotropa hypopitys;8.192939038;2.844822956
Silene nutans;8.869539399;2.90765118
Anthriscus sylvestris;7.368234419;3.801303794
Carex pseudocyperus;8.460000858;2.524102999
Turritis glabra;8.002416135;3.710034187
Viola odorata;9.569347493;2.496563151
Berberis vulgaris;9.047243618;2.632159868
Sagina maritima;10.30154609;3.344075792
Saxifraga tridactylites;9.836468456;3.06018669
Primula veris;8.67147508;2.835289468
Asplenium septentrionale;7.633847835;3.351647802
Bromus hordeaceus;8.384273775;2.608929888
Carex acuta;8.055702883;3.052156207
Knautia arvensis;8.317273475;3.353173282
Origanum vulgare;9.208428865;3.103685212
Plantago media;7.794366465;3.48560911
Poa nemoralis;7.748994269;4.112305032
Viola canina;8.054139752;3.186065117
Brachypodium pinnatum;9.391363163;3.205574122
Helictotrichon pratense;8.534126232;2.783295344
Rhynchospora alba;7.57104418;3.151644349
Verbascum thapsus;8.807886424;3.188215419
Fraxinus excelsior;8.493811631;2.476516568
Triglochin maritima;7.584467845;3.354195708
Carex caryophyllea;9.182998238;2.693244066
Glaux maritima;7.749985294;2.929303985
Trifolium montanum;8.619613464;2.518538551
Veronica beccabunga;8.575434403;2.976797503
Galeopsis tetrahit;8.065517823;3.450833043
Melampyrum pratense;6.980528256;3.774455194
Scutellaria galericulata;7.845017506;3.494615192
Cochlearia danica;9.253913387;2.347503473
Draba muralis;10.72811839;2.488163584
