Species;STI;STIsd
Scutellaria hastifolia;10.78476354;2.107884262
Trichophorum alpinum;3.419768964;3.389469286
Delphinium elatum;5.835550467;1.312765137
Silene noctiflora;7.994899786;1.951545797
Chimaphila umbellata;6.692669518;1.980934434
Ranunculus polyanthemos;7.634817568;2.496739385
Hierochloe australis;7.557360642;1.862679108
Melampyrum nemorosum;7.42745667;1.546089472
Pedicularis sceptrum carolinum;3.61724354;3.217495344
Poa remota;5.238047746;2.424298947
Orchis mascula;9.29832141;2.596337904
Ledum palustre;4.768994009;3.373391613
Viola epipsila;3.875764384;3.251668736
Agrostis gigantea;6.226137647;2.088894066
Cornus suecica;2.046098975;3.045657018
Potentilla intermedia;5.118460098;1.883966228
Diphasiastrum complanatum;4.360519648;3.513668532
Gentianella uliginosa;8.656685155;0.551437769
Botrychium matricariifolium;5.617999758;2.155665727
Levisticum officinale;5.283410827;2.038791055
Corydalis pumila;8.761320305;1.9934132
Linnaea borealis;3.610502047;3.163519218
Calamagrostis purpurea;2.971195606;2.944750143
Salix glauca;0.803993074;2.390737441
Vaccinium microcarpum;2.533577647;2.825126158
Woodsia ilvensis;2.176905401;2.581353247
Carex mackenziei;3.185357401;2.44800429
Phyllodoce caerulea;0.847090306;2.586850808
Carex brunnescens;1.967616178;2.65005872
Agrostis mertensii;-0.015404187;1.8643644
Crassula aquatica;3.842644508;2.218763447
Epilobium davuricum;-0.203769255;1.625209803
Pedicularis lapponica;-0.846476618;1.387361883
Diapensia lapponica;0.183122324;2.340501964
Antennaria alpina;-0.159819277;1.966618748
Carex globularis;2.884117674;2.701642152
Galium triflorum;1.95172966;2.342885033
Carex pediformis;6.093176871;1.954387487
Luzula pallescens;5.776820347;2.897540619
Botrychium boreale;0.314444931;1.948543524
Luzula parviflora;-1.478687462;1.034241809
Draba alpina;-1.252777266;1.496727295
Campanula uniflora;-0.672566074;1.759372986
Pinguicula villosa;0.121398541;1.656821262
Sorbus intermedia;6.427630178;1.00504929
Carex loliacea;2.748359642;2.823449675
Botrychium lanceolatum;2.603328183;1.730934774
Carex disperma;1.6674803;2.368167171
Cotoneaster niger;7.953583908;1.725899956
Iris pumila;9.57797962;1.525798836
Ranunculus cassubicus;7.452047018;1.750945423
Centaurium littorale;11.17341002;0.367771456
Pulsatilla patens;6.914297137;1.528214935
Centaurea phrygia;6.465767338;2.044684487
Arabidopsis suecica;3.807554128;1.404333936
Ranunculus lapponicus;-0.057478784;1.748083634
Calamagostris lapponica;-0.233979791;1.642463791
Ranunculus fallax;4.538835766;1.180282293
Carex glareosa;2.001909821;2.482026517
Lactuca sibirica;0.919963311;2.479055029
Calypso bulbosa;0.413560636;1.442969313
Polemonium acutiflorum;-1.013347695;1.177310781
Syringa vulgaris;10.10603724;1.421356951
Silene viscosa;7.29359009;1.653975114
Chamaedaphne calycalata;3.726883415;2.613683788
Viola selkirkii;2.866070805;0.956901968
Nymphaea tetragona;2.816815772;1.075818969
Festuca beckeri;10.67184271;2.292246168
Larix sibirica;NA;NA
Alnus incana;5.782714983;3.750999525
Anemone nemorosa;7.847923811;2.986132792
Athyrium filix-femina;7.290043934;4.064632515
Betula nana;2.63228507;2.974548154
Betula pendula;7.186501775;3.42528833
Betula pubescens;6.286491784;3.732205177
Caltha palustris;7.031561066;3.716839296
Chrysosplenium alternifolium;7.409891085;2.568472799
Comarum palustre;6.036417344;3.575280054
Drosera rotundifolia;6.579313104;3.82253054
Dryopteris carthusiana;7.067742545;3.254674431
Dryopteris filix-mas;7.716811397;3.656360549
Equisetum arvense;7.447909746;4.085877963
Equisetum fluviatile;6.680300422;3.848464376
Equisetum palustre;7.216704061;4.027140837
Equisetum pratense;4.642351329;3.476851888
Equisetum sylvaticum;5.832038395;3.597483463
Filipendula ulmaria;6.916383141;3.741266051
Fragaria vesca;7.816022607;3.766291591
Geum rivale;6.207341891;3.446321006
Gymnocarpium dryopteris;5.979970952;3.68974346
Lycopodium annotinum;5.084851297;3.475557913
Lycopodium clavatum;6.094576623;3.647691118
Moehringia trinervia;8.182896398;3.161854495
Pinus sylvestris;5.71821892;3.688270213
Populus tremula;7.167718376;3.866213241
Potentilla erecta;7.523634534;3.850661404
Prunus padus;6.259371638;3.66722244
Ranunculus acris;7.119645698;3.766438141
Ranunculus repens;7.691694153;3.994110907
Ribes alpinum;7.570076801;2.637587074
Ribes spicatum;4.653984513;3.578934357
Rubus arcticus;1.471071986;2.533525436
Rubus chamaemorus;3.277515648;3.182906397
Rubus idaeus;6.727359391;3.578097944
Rubus saxatilis;5.676229351;3.516238271
Salix aurita;7.230110147;3.098361829
Salix caprea;7.196746215;3.813447036
Salix cinerea;7.853957926;3.02934564
Salix lapponum;3.034498483;3.166493374
Salix myrsinifolia;4.944382152;3.655040141
Salix phylicifolia;2.457053295;3.056488342
Salix repens;7.591956943;3.156739783
Salix starkeana;4.405751429;2.949004105
Silene dioica;6.866796577;3.868126436
Stellaria graminea;7.029958832;3.848115984
Stellaria longifolia;3.400560875;3.168024311
Stellaria palustris;7.401272874;2.470760236
Urtica dioica;8.042486541;4.22620674
